DL,hasRecCarDep4,dep_car_r4
DL,hasRecCarDep5,dep_car_r5
DL,hasRecCarDep6,dep_car_r6
DL,hasRecCarDep7,dep_car_r7
DL,hasRecCarDep8,dep_car_r8
DL,hasRecCarDep9,dep_car_r9
DL,hasRecCarOriDep1,dep_DL_ori_r1
DL,hasRecCarOriDep2,dep_DL_ori_r2
DL,hasRecCarOriDep3,dep_DL_ori_r3
DL,hasRecCarOriDep4,dep_DL_ori_r4
DL,hasRecCarOriDep5,dep_DL_ori_r5
DL,recentCarrierDepProperty,dep_car_r2
DL,recentCarrierDepProperty,dep_car_r1
DL,recentCarrierDepProperty,dep_car_r8
DL,recentCarrierDepProperty,dep_car_r7
DL,recentCarrierDepProperty,dep_car_r10
DL,recentCarrierDepProperty,dep_car_r9
DL,recentCarrierDepProperty,dep_car_r4
DL,recentCarrierDepProperty,dep_car_r3
DL,recentCarrierDepProperty,dep_car_r6
DL,recentCarrierDepProperty,dep_car_r5
DL,recentCarrierOriginDepProperty,dep_DL_ori_r1
DL,recentCarrierOriginDepProperty,dep_DL_ori_r4
DL,recentCarrierOriginDepProperty,dep_DL_ori_r5
DL,recentCarrierOriginDepProperty,dep_DL_ori_r2
DL,recentCarrierOriginDepProperty,dep_DL_ori_r3
DSM,serveCity,Des_Moines
Dallas,locatedIn,S_TX
Daytona_Beach,locatedIn,S_FL
Denver,locatedIn,S_CO
Des_Moines,locatedIn,S_IA
EWR,hasNeiAirport1,LGA
EWR,hasNeiAirport2,JFK
EWR,hasNeiAirport3,PHL
EWR,neighbourAirportProperty,LGA
EWR,neighbourAirportProperty,PHL
EWR,neighbourAirportProperty,JFK
Fort_Worth,locatedIn,S_TX
GRR,serveCity,Grand_Rapids
Grand_Rapids,locatedIn,S_MI
HOU,serveCity,Houston
Houston,locatedIn,S_TX
IAD,serveCity,Washington
IAH,serveCity,Houston
JFK,hasNeiAirport1,LGA
JFK,hasNeiAirport2,EWR
JFK,hasNeiAirport3,PHL
JFK,neighbourAirportProperty,LGA
JFK,neighbourAirportProperty,PHL
JFK,neighbourAirportProperty,EWR
Kansas_City,locatedIn,S_MO
LAX,hasNeiAirport1,BUR
LAX,hasNeiAirport2,SNA
LAX,hasNeiAirport3,SAN
LAX,neighbourAirportProperty,SNA
LAX,neighbourAirportProperty,SAN
LAX,neighbourAirportProperty,BUR
LAX,serveCity,Los_Angeles
LGA,serveCity,New_York
Los_Angeles,locatedIn,S_CA
MCI,serveCity,Kansas_City
MCO,serveCity,Orlando
MEM,serveCity,Memphis
MIA,serveCity,Miami
MSP,serveCity,Minneapolis
Memphis,locatedIn,S_TN
Miami,locatedIn,S_FL
Minneapolis,locatedIn,S_MN
Nashville,locatedIn,S_TN
New_York,locatedIn,S_NY
ORD,hasNeiAirport1,MDW
ORD,hasNeiAirport2,MKE
ORD,hasNeiAirport3,DTW
ORD,neighbourAirportProperty,MKE
ORD,neighbourAirportProperty,DTW
ORD,neighbourAirportProperty,MDW
ORD,serveCity,Chicago
Orlando,locatedIn,S_FL
PBI,serveCity,West_Palm_Beach
PBI,serveCity,Palm_Beach
Palm_Beach,locatedIn,S_FL
SAV,hasRecDep1,dep_SAV_r1
SAV,hasRecDep2,dep_SAV_r2
SAV,hasRecDep3,dep_SAV_r3
SAV,recentDepProperty,dep_SAV_r1
SAV,recentDepProperty,dep_SAV_r2
SAV,recentDepProperty,dep_SAV_r3
SAV,serveCity,Savannah
SFO,hasNeiAirport1,OAK
SFO,hasNeiAirport2,SJC
SFO,hasNeiAirport3,SMF
SFO,neighbourAirportProperty,OAK
SFO,neighbourAirportProperty,SJC
SFO,neighbourAirportProperty,SMF
SFO,serveCity,San_Francisco
STL,serveCity,St._Louis
San_Francisco,locatedIn,S_CA
Savannah,locatedIn,S_GA
St._Louis,locatedIn,S_MO
Washington,locatedIn,S_DC
West_Palm_Beach,locatedIn,S_FL
car,hasRecCarDep1,dep_car_r1
car,hasRecCarDep10,dep_car_r10
car,hasRecCarDep2,dep_car_r2
car,hasRecCarDep3,dep_car_r3
car,hasRecCarDep4,dep_car_r4
car,hasRecCarDep5,dep_car_r5
car,hasRecCarDep6,dep_car_r6
car,hasRecCarDep7,dep_car_r7
car,hasRecCarDep8,dep_car_r8
car,hasRecCarDep9,dep_car_r9
car,hasRecCarOriDep1,dep_DL_ori_r1
car,hasRecCarOriDep2,dep_DL_ori_r2
car,hasRecCarOriDep3,dep_DL_ori_r3
car,hasRecCarOriDep4,dep_DL_ori_r4
car,hasRecCarOriDep5,dep_DL_ori_r5
car,recentCarrierDepProperty,dep_car_r2
car,recentCarrierDepProperty,dep_car_r1
car,recentCarrierDepProperty,dep_car_r8
car,recentCarrierDepProperty,dep_car_r7
car,recentCarrierDepProperty,dep_car_r10
car,recentCarrierDepProperty,dep_car_r9
car,recentCarrierDepProperty,dep_car_r4
car,recentCarrierDepProperty,dep_car_r3
car,recentCarrierDepProperty,dep_car_r6
car,recentCarrierDepProperty,dep_car_r5
car,recentCarrierOriginDepProperty,dep_DL_ori_r1
car,recentCarrierOriginDepProperty,dep_DL_ori_r4
car,recentCarrierOriginDepProperty,dep_DL_ori_r5
car,recentCarrierOriginDepProperty,dep_DL_ori_r2
car,recentCarrierOriginDepProperty,dep_DL_ori_r3
dep,hasCarrier,DL
dep,hasCarrier,car
dep,hasDest,DFW
dep,hasDest,des
dep,hasFlight,DL_1810
dep,hasOrigin,ATL
dep,hasOrigin,ori
dep_ATL_r1,hasCarrier,DL
dep_ATL_r1,hasCarrier,car
dep_ATL_r1,hasDest,CHS
dep_ATL_r1,hasFlight,DL_765
dep_ATL_r1,hasOrigin,ATL
dep_ATL_r1,hasOrigin,ori
dep_ATL_r10,hasCarrier,EV
dep_ATL_r10,hasDest,ATW
dep_ATL_r10,hasFlight,EV_5591
dep_ATL_r10,hasOrigin,ATL
dep_ATL_r10,hasOrigin,ori
dep_ATL_r11,hasCarrier,DL
dep_ATL_r11,hasCarrier,car
dep_ATL_r11,hasDest,ALB
dep_ATL_r11,hasFlight,DL_2033
dep_ATL_r11,hasOrigin,ATL
dep_ATL_r11,hasOrigin,ori
dep_ATL_r12,hasCarrier,DL
dep_ATL_r12,hasCarrier,car
dep_ATL_r12,hasDest,IAD
dep_ATL_r12,hasFlight,DL_1093
dep_ATL_r12,hasOrigin,ATL
dep_ATL_r12,hasOrigin,ori
dep_ATL_r13,hasCarrier,DL
dep_ATL_r13,hasCarrier,car
dep_ATL_r13,hasDest,DSM
dep_ATL_r13,hasFlight,DL_1532
dep_ATL_r13,hasOrigin,ATL
dep_ATL_r13,hasOrigin,ori
dep_ATL_r2,hasCarrier,DL
dep_ATL_r2,hasCarrier,car
dep_ATL_r2,hasDest,MEM
dep_ATL_r2,hasFlight,DL_1281
dep_ATL_r2,hasOrigin,ATL
dep_ATL_r2,hasOrigin,ori
dep_ATL_r3,hasCarrier,DL
dep_ATL_r3,hasCarrier,car
dep_ATL_r3,hasDest,HOU
dep_ATL_r3,hasFlight,DL_1691
dep_ATL_r3,hasOrigin,ATL
dep_ATL_r3,hasOrigin,ori
dep_ATL_r4,hasCarrier,DL
dep_ATL_r4,hasCarrier,car
dep_ATL_r4,hasDest,MIA
dep_ATL_r4,hasFlight,DL_1998
dep_ATL_r4,hasOrigin,ATL
dep_ATL_r4,hasOrigin,ori
dep_ATL_r5,hasCarrier,DL
dep_ATL_r5,hasCarrier,car
dep_ATL_r5,hasDest,DAB
dep_ATL_r5,hasFlight,DL_2439
dep_ATL_r5,hasOrigin,ATL
dep_ATL_r5,hasOrigin,ori
dep_ATL_r6,hasCarrier,DL
dep_ATL_r6,hasCarrier,car
dep_ATL_r6,hasDest,PBI
dep_ATL_r6,hasFlight,DL_2448
dep_ATL_r6,hasOrigin,ATL
dep_ATL_r6,hasOrigin,ori
dep_ATL_r7,hasCarrier,DL
dep_ATL_r7,hasCarrier,car
dep_ATL_r7,hasDest,MCI
dep_ATL_r7,hasFlight,DL_2256
dep_ATL_r7,hasOrigin,ATL
dep_ATL_r7,hasOrigin,ori
dep_ATL_r8,hasCarrier,DL
dep_ATL_r8,hasCarrier,car
dep_ATL_r8,hasDest,LAX
dep_ATL_r8,hasFlight,DL_370
dep_ATL_r8,hasOrigin,ATL
dep_ATL_r8,hasOrigin,ori
dep_ATL_r9,hasCarrier,DL
dep_ATL_r9,hasCarrier,car
dep_ATL_r9,hasDest,SAV
dep_ATL_r9,hasFlight,DL_1983
dep_ATL_r9,hasOrigin,ATL
dep_ATL_r9,hasOrigin,ori
dep_BNA_r1,hasCarrier,WN
dep_BNA_r1,hasDest,CHS
dep_BNA_r1,hasFlight,WN_3280
dep_BNA_r1,hasOrigin,BNA
dep_BNA_r2,hasCarrier,WN
dep_BNA_r2,hasDest,LAX
dep_BNA_r2,hasFlight,WN_4642
dep_BNA_r2,hasOrigin,BNA
dep_BNA_r3,hasCarrier,EV
dep_BNA_r3,hasDest,IAH
dep_BNA_r3,hasFlight,EV_3963
dep_BNA_r3,hasOrigin,BNA
dep_BNA_r4,hasCarrier,WN
dep_BNA_r4,hasDest,HOU
dep_BNA_r4,hasFlight,WN_2786
dep_BNA_r4,hasOrigin,BNA
dep_BNA_r5,hasCarrier,WN
dep_BNA_r5,hasDest,MSP
dep_BNA_r5,hasFlight,WN_596
dep_BNA_r5,hasOrigin,BNA
dep_CLT_r1,hasCarrier,AA
dep_CLT_r1,hasDest,LAX
dep_CLT_r1,hasFlight,AA_725
dep_CLT_r1,hasOrigin,CLT
dep_CLT_r2,hasCarrier,AA
dep_CLT_r2,hasDest,AUS
dep_CLT_r2,hasFlight,AA_1739
dep_CLT_r2,hasOrigin,CLT
dep_CLT_r3,hasCarrier,AA
dep_CLT_r3,hasDest,ORD
dep_CLT_r3,hasFlight,AA_2055
dep_CLT_r3,hasOrigin,CLT
dep_CLT_r4,hasCarrier,AA
dep_CLT_r4,hasDest,IAH
dep_CLT_r4,hasFlight,AA_2069
dep_CLT_r4,hasOrigin,CLT
dep_CLT_r5,hasCarrier,AA
dep_CLT_r5,hasDest,SFO
dep_CLT_r5,hasFlight,AA_622
dep_CLT_r5,hasOrigin,CLT
dep_DL_ori_r1,hasCarrier,DL
dep_DL_ori_r1,hasCarrier,car
dep_DL_ori_r1,hasDest,CHS
dep_DL_ori_r1,hasFlight,DL_765
dep_DL_ori_r1,hasOrigin,ATL
dep_DL_ori_r1,hasOrigin,ori
dep_DL_ori_r2,hasCarrier,DL
dep_DL_ori_r2,hasCarrier,car
dep_DL_ori_r2,hasDest,MEM
dep_DL_ori_r2,hasFlight,DL_1281
dep_DL_ori_r2,hasOrigin,ATL
dep_DL_ori_r2,hasOrigin,ori
dep_DL_ori_r3,hasCarrier,DL
dep_DL_ori_r3,hasCarrier,car
dep_DL_ori_r3,hasDest,HOU
dep_DL_ori_r3,hasFlight,DL_1691
dep_DL_ori_r3,hasOrigin,ATL
dep_DL_ori_r3,hasOrigin,ori
dep_DL_ori_r4,hasCarrier,DL
dep_DL_ori_r4,hasCarrier,car
dep_DL_ori_r4,hasDest,MIA
dep_DL_ori_r4,hasFlight,DL_1998
dep_DL_ori_r4,hasOrigin,ATL
dep_DL_ori_r4,hasOrigin,ori
dep_DL_ori_r5,hasCarrier,DL
dep_DL_ori_r5,hasCarrier,car
dep_DL_ori_r5,hasDest,DAB
dep_DL_ori_r5,hasFlight,DL_2439
dep_DL_ori_r5,hasOrigin,ATL
dep_DL_ori_r5,hasOrigin,ori
dep_SAV_r1,hasCarrier,B6
dep_SAV_r1,hasDest,BOS
dep_SAV_r1,hasFlight,B6_50
dep_SAV_r1,hasOrigin,SAV
dep_SAV_r2,hasCarrier,DL
dep_SAV_r2,hasCarrier,car
dep_SAV_r2,hasDest,ATL
dep_SAV_r2,hasDest,ori
dep_SAV_r2,hasFlight,DL_812
dep_SAV_r2,hasOrigin,SAV
dep_SAV_r3,hasCarrier,EV
dep_SAV_r3,hasDest,LGA
dep_SAV_r3,hasFlight,EV_5461
dep_SAV_r3,hasOrigin,SAV
dep_car_r1,hasCarrier,DL
dep_car_r1,hasCarrier,car
dep_car_r1,hasDest,ATL
dep_car_r1,hasDest,ori
dep_car_r1,hasFlight,DL_151
dep_car_r1,hasOrigin,DCA
dep_car_r10,hasCarrier,DL
dep_car_r10,hasCarrier,car
dep_car_r10,hasDest,ATL
dep_car_r10,hasDest,ori
dep_car_r10,hasFlight,DL_2199
dep_car_r10,hasOrigin,DEN
dep_car_r2,hasCarrier,DL
dep_car_r2,hasCarrier,car
dep_car_r2,hasDest,CHS
dep_car_r2,hasFlight,DL_765
dep_car_r2,hasOrigin,ATL
dep_car_r2,hasOrigin,ori
dep_car_r3,hasCarrier,DL
dep_car_r3,hasCarrier,car
dep_car_r3,hasDest,MEM
dep_car_r3,hasFlight,DL_1281
dep_car_r3,hasOrigin,ATL
dep_car_r3,hasOrigin,ori
dep_car_r4,hasCarrier,DL
dep_car_r4,hasCarrier,car
dep_car_r4,hasDest,GRR
dep_car_r4,hasFlight,DL_1407
dep_car_r4,hasOrigin,MSP
dep_car_r5,hasCarrier,DL
dep_car_r5,hasCarrier,car
dep_car_r5,hasDest,MCO
dep_car_r5,hasFlight,DL_1649
dep_car_r5,hasOrigin,LAX
dep_car_r6,hasCarrier,DL
dep_car_r6,hasCarrier,car
dep_car_r6,hasDest,HOU
dep_car_r6,hasFlight,DL_1691
dep_car_r6,hasOrigin,ATL
dep_car_r6,hasOrigin,ori
dep_car_r7,hasCarrier,DL
dep_car_r7,hasCarrier,car
dep_car_r7,hasDest,ATL
dep_car_r7,hasDest,ori
dep_car_r7,hasFlight,DL_1992
dep_car_r7,hasOrigin,LGA
dep_car_r8,hasCarrier,DL
dep_car_r8,hasCarrier,car
dep_car_r8,hasDest,MIA
dep_car_r8,hasFlight,DL_1998
dep_car_r8,hasOrigin,ATL
dep_car_r8,hasOrigin,ori
dep_car_r9,hasCarrier,DL
dep_car_r9,hasCarrier,car
dep_car_r9,hasDest,STL
dep_car_r9,hasFlight,DL_2181
dep_car_r9,hasOrigin,MSP
des,hasNeiAirport1,OKC
des,hasNeiAirport2,AUS
des,hasNeiAirport3,IAH
des,hasWeather,wea_des
des,neighbourAirportProperty,OKC
des,neighbourAirportProperty,IAH
des,neighbourAirportProperty,AUS
des,serveCity,Dallas
des,serveCity,Fort_Worth
ori,hasNeiAirport1,CLT
ori,hasNeiAirport2,SAV
ori,hasNeiAirport3,BNA
ori,hasNeiRecDep1_1,dep_CLT_r1
ori,hasNeiRecDep1_2,dep_CLT_r2
ori,hasNeiRecDep1_3,dep_CLT_r3
ori,hasNeiRecDep1_4,dep_CLT_r4
ori,hasNeiRecDep1_5,dep_CLT_r5
ori,hasNeiRecDep2_1,dep_SAV_r1
ori,hasNeiRecDep2_2,dep_SAV_r2
ori,hasNeiRecDep2_3,dep_SAV_r3
ori,hasNeiRecDep3_1,dep_BNA_r1
ori,hasNeiRecDep3_2,dep_BNA_r2
ori,hasNeiRecDep3_3,dep_BNA_r3
ori,hasNeiRecDep3_4,dep_BNA_r4
ori,hasNeiRecDep3_5,dep_BNA_r5
ori,hasRecDep1,dep_ATL_r1
ori,hasRecDep10,dep_ATL_r10
ori,hasRecDep11,dep_ATL_r11
ori,hasRecDep12,dep_ATL_r12
ori,hasRecDep13,dep_ATL_r13
ori,hasRecDep2,dep_ATL_r2
ori,hasRecDep3,dep_ATL_r3
ori,hasRecDep4,dep_ATL_r4
ori,hasRecDep5,dep_ATL_r5
ori,hasRecDep6,dep_ATL_r6
ori,hasRecDep7,dep_ATL_r7
ori,hasRecDep8,dep_ATL_r8
ori,hasRecDep9,dep_ATL_r9
ori,hasWeather,wea_ori
ori,neighbourAirportProperty,CLT
ori,neighbourAirportProperty,SAV
ori,neighbourAirportProperty,BNA
ori,neighbourRecentDepProperty,dep_BNA_r3
ori,neighbourRecentDepProperty,dep_BNA_r2
ori,neighbourRecentDepProperty,dep_BNA_r1
ori,neighbourRecentDepProperty,dep_CLT_r2
ori,neighbourRecentDepProperty,dep_CLT_r3
ori,neighbourRecentDepProperty,dep_CLT_r4
ori,neighbourRecentDepProperty,dep_CLT_r5
ori,neighbourRecentDepProperty,dep_SAV_r1
ori,neighbourRecentDepProperty,dep_BNA_r5
ori,neighbourRecentDepProperty,dep_BNA_r4
ori,neighbourRecentDepProperty,dep_CLT_r1
ori,neighbourRecentDepProperty,dep_SAV_r2
ori,neighbourRecentDepProperty,dep_SAV_r3
ori,recentDepProperty,dep_ATL_r8
ori,recentDepProperty,dep_ATL_r9
ori,recentDepProperty,dep_ATL_r12
ori,recentDepProperty,dep_ATL_r11
ori,recentDepProperty,dep_ATL_r13
ori,recentDepProperty,dep_ATL_r1
ori,recentDepProperty,dep_ATL_r2
ori,recentDepProperty,dep_ATL_r10
ori,recentDepProperty,dep_ATL_r3
ori,recentDepProperty,dep_ATL_r4
ori,recentDepProperty,dep_ATL_r5
ori,recentDepProperty,dep_ATL_r6
ori,recentDepProperty,dep_ATL_r7
ori,serveCity,Atlanta
ABE,serveCity,Bethlehem
ABE,serveCity,Easton
ABE,serveCity,Allentown
ABQ,serveCity,Albuquerque
ATL,hasNeiRecDep2_4,dep_SAV_r4
ATL,neighbourRecentDepProperty,dep_SAV_r4
Albuquerque,locatedIn,S_NM
Allentown,locatedIn,S_PA
BMI,serveCity,Normal
BMI,serveCity,Bloomington
BUF,serveCity,Buffalo
BWI,serveCity,Baltimore
