dep_SAV_r1,hasFlight,EV_4212:0.000837,0.568797,0.569634
dep_ATL_r8,hasFlight,EV_5166:0.000140,0.569355,0.569495
dep_BNA_r4,hasFlight,WN_4547:0.000279,0.569495,0.569774
dep_car_r4,hasDest,FLL:0.010745,0.553865,0.564611
dep_DL_ori_r2,hasDest,AGS:0.000698,0.569076,0.569774
dep_BNA_r3,hasFlight,WN_2409:0.000000,0.569355,0.569355
dep_BNA_r3,hasDest,SAN:0.013676,0.560843,0.574519
dep_ATL_r9,hasDest,LIT:0.000140,0.569216,0.569355
dep_DL_ori_r3,hasFlight,DL_572:0.001395,0.568518,0.569913
dep_ATL_r8,hasFlight,EV_5173:0.000140,0.569355,0.569495
dep_BNA_r3,hasFlight,WN_2412:0.007675,0.563215,0.570890
dep_BNA_r3,hasFlight,WN_3742:0.000140,0.569495,0.569634
dep_ATL_r8,hasFlight,EV_5177:0.000140,0.569495,0.569634
dep_SAV_r1,hasFlight,EV_4201:0.000140,0.569495,0.569634
dep_car_r4,hasOrigin,RDU:0.001256,0.568239,0.569495
dep_DL_ori_r5,hasDest,PNS:0.006001,0.560564,0.566564
dep_ATL_r6,hasFlight,F9_423:0.000419,0.569634,0.570053
Airport,ECP:0.053586,0.515769,0.569355
dep_ATL_r8,hasFlight,EV_5182:0.000140,0.569355,0.569495
dep,hasFlight,DL_394:0.000837,0.569216,0.570053
dep_ATL_r8,hasFlight,EV_5183:0.006977,0.562797,0.569774
dep_car_r3,hasDest,MCI:0.012978,0.558331,0.571309
dep_ATL_r8,hasFlight,EV_5186:0.000279,0.569495,0.569774
dep_ATL_r8,hasFlight,EV_5184:0.000140,0.569495,0.569634
dep_car_r3,hasDest,MCO:0.003210,0.562657,0.565867
dep_BNA_r3,hasFlight,WN_3752:0.000558,0.568937,0.569495
dep_car_r10,hasFlight,DL_2431:0.000140,0.569355,0.569495
dep_car_r10,hasFlight,DL_2430:0.001675,0.567541,0.569216
dep_ATL_r4,hasFlight,DL_1532:0.001535,0.567541,0.569076
dep_ATL_r4,hasFlight,DL_1534:0.018420,0.557075,0.575495
dep_ATL_r12,hasFlight,FL_274:0.000140,0.569495,0.569634
dep_car_r4,hasOrigin,RSW:0.003210,0.566564,0.569774
dep_ATL_r6,hasFlight,EV_4949:0.006559,0.564052,0.570611
dep_ATL_r13,hasFlight,FL_35:0.000419,0.569216,0.569634
dep_ATL_r4,hasFlight,DL_1537:0.000558,0.568937,0.569495
dep_car_r3,hasFlight,DL_864:0.000000,0.569216,0.569216
dep_car_r3,hasFlight,DL_865:0.001116,0.568658,0.569774
dep_car_r3,hasFlight,DL_866:0.001675,0.566704,0.568378
dep_car_r3,hasFlight,DL_867:0.000698,0.567123,0.567820
dep_car_r3,hasFlight,DL_869:0.000140,0.569495,0.569634
dep_ATL_r11,hasFlight,EV_5482:0.006559,0.562517,0.569076
dep_CLT_r3,hasFlight,MQ_3171:0.000000,0.569495,0.569495
dep_ATL_r6,hasFlight,EV_4954:0.001954,0.564611,0.566564
GeoLocation,FSM:0.000279,0.568239,0.568518
dep_car_r10,hasFlight,DL_2429:0.000279,0.569355,0.569634
dep_DL_ori_r3,hasFlight,DL_592:0.006559,0.564332,0.570890
GeoLocation,FSD:0.001954,0.567123,0.569076
dep_car_r10,hasFlight,DL_2425:0.000837,0.569495,0.570332
dep_car_r10,hasFlight,DL_2427:0.001675,0.567681,0.569355
dep_car_r10,hasFlight,DL_2422:0.004186,0.565169,0.569355
dep_ATL_r11,hasFlight,EV_5486:0.000140,0.569634,0.569774
dep_car_r10,hasFlight,DL_2424:0.000279,0.569076,0.569355
dep_BNA_r5,hasFlight,WN_4007:0.000140,0.569495,0.569634
Carrier,EM:0.430366,0.000000,0.430366
dep_ATL_r8,hasFlight,EV_5116:0.000140,0.569634,0.569774
dep_car_r3,hasDest,MDW:0.007117,0.561401,0.568518
dep_ATL_r8,hasFlight,EV_5119:0.000977,0.568518,0.569495
Carrier,CO:0.430366,0.000000,0.430366
dep_ATL_r5,hasDest,CLT:0.003628,0.562936,0.566564
dep_BNA_r4,hasFlight,WN_3263:0.000000,0.569216,0.569216
dep_car_r3,hasFlight,DL_853:0.000419,0.569216,0.569634
dep_BNA_r1,hasFlight,EV_4303:0.000837,0.568797,0.569634
dep_car_r3,hasFlight,DL_857:0.000000,0.569495,0.569495
dep_car_r3,hasFlight,DL_858:0.000140,0.568518,0.568658
dep_CLT_r2,hasFlight,US_1863:0.000000,0.569355,0.569355
dep_car_r3,hasDest,MEM:0.005442,0.564332,0.569774
dep_car_r10,hasFlight,DL_2418:0.000140,0.569355,0.569495
Flight,FL_609:0.006140,0.558750,0.564890
dep_ATL_r6,hasFlight,EV_4940:0.002372,0.567402,0.569774
dep_car_r10,hasFlight,DL_2417:0.000000,0.568378,0.568378
dep_ATL_r5,hasDest,CMH:0.008094,0.559866,0.567960
dep_ATL_r8,hasFlight,EV_5123:0.000000,0.569216,0.569216
dep_CLT_r1,hasFlight,YV_2938:0.000000,0.569495,0.569495
dep_ATL_r3,hasDest,PWM:0.000140,0.569355,0.569495
dep_ATL_r11,hasFlight,EV_5496:0.006559,0.564890,0.571449
Departure,dep_car_r10:0.430366,0.000000,0.430366
dep_car_r10,hasFlight,DL_2413:0.000000,0.569355,0.569355
Carrier,DL:0.430366,0.000000,0.430366
dep_CLT_r3,hasFlight,AA_716:0.004186,0.564471,0.568658
dep_BNA_r4,hasFlight,WN_163:0.000000,0.569216,0.569216
dep_car_r10,hasFlight,DL_1120:0.000279,0.569216,0.569495
dep_BNA_r3,hasFlight,WN_922:0.000558,0.568797,0.569355
dep_ATL_r2,hasDest,VPS:0.000140,0.569355,0.569495
dep_ATL_r4,hasFlight,DL_1512:0.001535,0.566006,0.567541
dep_ATL_r13,hasFlight,DL_753:0.000000,0.569355,0.569355
dep_DL_ori_r5,hasOrigin,ATL:0.430366,0.000000,0.430366
dep_ATL_r13,hasFlight,DL_754:0.000000,0.569355,0.569355
dep_ATL_r4,hasFlight,FL_317:0.000140,0.568378,0.568518
dep_ATL_r1,hasFlight,EV_5496:0.000419,0.565867,0.566285
dep_car_r3,hasFlight,DL_885:0.001116,0.568239,0.569355
dep_ATL_r6,hasFlight,EV_4968:0.003070,0.566425,0.569495
dep_BNA_r4,hasFlight,WN_162:0.000000,0.569355,0.569355
dep_ATL_r6,hasFlight,EV_4977:0.000000,0.569216,0.569216
dep_BNA_r2,hasFlight,WN_1697:0.000000,0.569495,0.569495
dep_car_r3,hasFlight,DL_883:0.000140,0.569495,0.569634
dep_CLT_r2,hasFlight,US_1853:0.000698,0.568797,0.569495
dep_car_r10,hasFlight,DL_2448:0.001535,0.568239,0.569774
dep_ATL_r8,hasFlight,EV_5135:0.000279,0.569634,0.569913
dep_ATL_r5,hasDest,CLE:0.000140,0.569495,0.569634
dep_ATL_r13,hasFlight,DL_758:0.000977,0.568099,0.569076
dep_car_r10,hasFlight,DL_1112:0.004745,0.567681,0.572425
dep_ATL_r8,hasFlight,EV_5139:0.000279,0.569216,0.569495
dep_BNA_r2,hasFlight,WN_1699:0.000419,0.569355,0.569774
Origin,ATL:0.430366,0.000000,0.430366
Airport,EGE:0.001256,0.567262,0.568518
dep_DL_ori_r5,hasDest,PBI:0.005861,0.564192,0.570053
dep_ATL_r3,hasDest,PVD:0.000419,0.569495,0.569914
SFO,hasNeiAirport3,SMF:0.430366,0.000000,0.430366
dep_car_r3,hasFlight,DL_874:0.000558,0.568937,0.569495
dep_car_r3,hasFlight,DL_875:0.000140,0.569355,0.569495
Carrier,B6:0.430366,0.000000,0.430366
dep_car_r3,hasFlight,DL_878:0.000977,0.568099,0.569076
dep_BNA_r3,hasFlight,WN_917:0.003628,0.566983,0.570611
dep_ATL_r6,hasFlight,EV_4957:0.000000,0.569495,0.569495
dep_car_r10,hasFlight,DL_1109:0.000140,0.569355,0.569495
dep_ATL_r8,hasFlight,EV_5142:0.001116,0.568378,0.569495
dep_car_r3,hasFlight,DL_871:0.001116,0.567681,0.568797
dep_ATL_r6,hasFlight,EV_4960:0.000000,0.569495,0.569495
dep_ATL_r8,hasFlight,EV_5140:0.001256,0.567402,0.568658
dep_BNA_r2,hasFlight,WN_1682:0.000140,0.569495,0.569634
dep_ATL_r13,hasFlight,DL_744:0.007536,0.559866,0.567402
dep_car_r8,hasOrigin,ABQ:0.003070,0.565308,0.568378
dep_car_r10,hasFlight,DL_2439:0.000279,0.569076,0.569355
dep_car_r10,hasFlight,DL_1108:0.000558,0.568099,0.568658
dep_BNA_r2,hasFlight,WN_1689:0.000140,0.569495,0.569634
dep_ATL_r8,hasFlight,EV_5148:0.000140,0.569634,0.569774
dep_DL_ori_r1,hasDest,GPT:0.000279,0.568797,0.569076
dep_car_r10,hasFlight,DL_2434:0.000698,0.569076,0.569774
dep_ATL_r12,hasDest,DTW:0.010047,0.550795,0.560843
dep_car_r10,hasFlight,DL_1142:0.000000,0.569216,0.569216
dep_car_r10,hasFlight,DL_1143:0.000000,0.569495,0.569495
dep_BNA_r4,hasFlight,WN_100:0.000140,0.569355,0.569495
dep_BNA_r3,hasFlight,WN_943:0.000419,0.569634,0.570053
dep_BNA_r4,hasFlight,WN_101:0.003628,0.562378,0.566006
dep_car_r10,hasFlight,DL_1140:0.000000,0.568797,0.568797
dep_ATL_r9,hasFlight,OO_5527:0.000419,0.567960,0.568378
dep_ATL_r5,hasFlight,DL_800:0.000558,0.568518,0.569076
dep_ATL_r6,hasFlight,EV_4997:0.000698,0.568239,0.568937
dep_BNA_r4,hasDest,MCO:0.013676,0.554842,0.568518
dep_ATL_r4,hasDest,JFK:0.007675,0.562517,0.570193
Carrier,AA:0.430366,0.000000,0.430366
dep_car_r4,hasOrigin,ROC:0.000279,0.569216,0.569495
dep_BNA_r5,hasFlight,F9_663:0.003907,0.565308,0.569216
dep_car_r10,hasFlight,DL_2469:0.001535,0.567960,0.569495
dep_BNA_r4,hasDest,MCI:0.009489,0.555121,0.564611
dep_car_r10,hasFlight,DL_1135:0.000698,0.568797,0.569495
dep_car_r9,hasDest,HNL:0.001535,0.567681,0.569216
dep_car_r10,hasFlight,DL_2467:0.001954,0.565448,0.567402
dep_car_r10,hasFlight,DL_2462:0.000558,0.569216,0.569774
dep_BNA_r3,hasFlight,WN_935:0.000279,0.569495,0.569774
dep_car_r10,hasFlight,DL_2464:0.000000,0.568797,0.568797
