2014-07-07_DL_2210,981
2012-01-02_DL_910,943
2017-07-09_DL_1445,931
2017-03-16_DL_1810,957
2014-10-03_DL_1445,1058
2010-07-10_DL_2111,995
2012-11-07_DL_910,994
2011-10-01_DL_1810,954
2015-10-11_DL_177,953
2017-03-30_DL_2501,948
2010-06-24_DL_2111,988
2012-10-20_DL_75,967
2015-03-22_DL_875,979
2011-10-31_DL_2210,938
2010-08-11_DL_2111,980
2011-05-03_DL_2011,999
2011-04-30_DL_2011,971
2011-08-06_DL_1810,1012
2010-09-05_DL_2111,966
2014-08-14_DL_177,973
2013-09-30_DL_2210,998
2012-05-29_DL_2210,1042
2014-04-04_DL_177,1026
2015-09-06_DL_177,935
2013-04-17_DL_910,956
2016-02-02_DL_1810,988
2011-12-13_DL_1810,959
2011-05-04_DL_2011,1015
2013-03-17_DL_1810,956
2013-05-17_DL_2403,986
2012-03-26_DL_1810,1013
2014-03-23_DL_2210,989
2014-05-29_DL_1390,1008
2011-09-09_DL_1810,965
2014-08-29_DL_177,1005
2012-12-26_DL_910,1073
2016-07-25_DL_1553,966
2014-05-05_DL_177,972
2010-07-18_DL_1911,1019
2011-05-05_DL_1911,1017
2013-07-26_DL_2210,1005
2014-07-06_DL_177,966
2014-04-06_DL_177,1021
2013-01-02_DL_1343,1005
2010-06-15_DL_2111,973
2015-08-12_DL_177,954
2013-10-25_DL_2210,983
2014-03-29_DL_2210,1035
2014-11-22_DL_2210,983
2014-12-19_DL_1880,1028
2016-09-18_DL_1103,991
2014-05-13_DL_1390,973
2015-06-03_DL_1553,1000
2016-01-12_DL_723,954
2012-07-29_DL_2210,973
2014-11-05_DL_2210,966
2010-11-08_DL_1911,986
2010-02-26_DL_1927,1020
2010-02-10_DL_67,970
2014-09-08_DL_177,1003
2010-04-25_DL_1923,998
2014-03-12_DL_1965,983
2010-06-27_DL_2111,966
2015-08-12_DL_1810,954
2015-10-06_DL_1810,946
2014-09-14_DL_177,981
2015-12-17_DL_1445,939
2015-01-11_DL_1445,979
2014-03-14_DL_1965,988
2011-02-22_DL_2011,972
2013-02-14_DL_2210,985
2013-10-27_DL_1769,990
2014-06-16_DL_2210,965
2013-02-11_DL_910,1052
2014-02-02_DL_2210,986
2014-11-30_DL_1810,989
2014-06-07_DL_177,969
2017-01-14_DL_177,978
2012-09-03_DL_910,1010
2014-01-12_DL_1390,974
2011-06-13_DL_2210,981
2010-10-20_DL_2011,1027
2017-05-16_DL_892,991
2013-03-06_DL_910,975
2010-02-12_DL_1923,982
2010-09-26_DL_1911,1071
2016-05-09_DL_1553,945
2010-01-05_DL_67,1006
2016-12-31_DL_177,992
2013-07-27_DL_707,1047
2010-02-16_DL_1927,989
2012-11-20_DL_910,991
2014-05-15_DL_1390,1007
2012-12-03_DL_2210,981
2013-09-30_DL_508,995
2016-01-05_DL_1810,940
2012-03-02_DL_177,1020
2016-08-13_DL_1810,956
2010-08-27_DL_2111,977
2013-02-16_DL_2210,974
2014-08-19_DL_177,983
2013-06-08_DL_2210,971
2010-11-16_DL_1911,1013
2016-02-14_DL_177,973
2016-03-29_DL_1785,1006
2017-07-24_DL_1445,1021
2016-01-03_DL_1810,959
2017-01-22_DL_177,1014
2015-01-17_DL_1445,986
2016-07-30_DL_1810,1020
2017-03-26_DL_1445,955
2015-02-27_DL_2532,975
2016-09-25_DL_1553,996
2015-09-05_DL_177,1001
2010-09-07_DL_1911,991
2013-08-13_DL_2210,965
2012-08-07_DL_910,986
2010-06-25_DL_1911,988
2016-05-01_DL_1445,1021
2012-06-30_DL_75,1021
2017-01-10_DL_861,971
2012-04-02_DL_910,1021
2014-03-04_DL_2210,1014
2015-08-16_DL_177,975
2011-06-16_DL_910,1009
2012-04-05_DL_177,1007
2016-07-25_DL_1810,965
2015-09-21_DL_1553,971
2013-03-06_DL_1810,975
2015-09-27_DL_1810,957
2017-03-03_DL_1810,959
2011-01-01_DL_2011,991
2016-08-05_DL_1553,983
2010-09-16_DL_2011,1025
2010-09-19_DL_1911,1019
2014-10-09_DL_1445,1005
2017-07-18_DL_2501,972
2012-10-16_DL_75,965
2016-05-03_DL_1553,970
2011-02-04_DL_2011,1014
2010-04-23_DL_1265,986
2012-09-29_DL_75,1003
2013-12-01_DL_694,1000
2015-04-24_DL_1810,987
2012-08-06_DL_2210,1017
2012-08-27_DL_2210,1018
2016-11-26_DL_177,969
2013-10-02_DL_1769,980
2015-12-21_DL_2361,947
2015-07-07_DL_177,981
2013-10-12_DL_2210,978
2015-07-20_DL_177,955
2012-03-15_DL_177,997
2014-01-03_DL_394,999
2013-01-02_DL_2210,1005
2016-11-13_DL_861,955
2010-04-27_DL_1265,991
2015-08-07_DL_1553,961
2012-03-25_DL_910,990
2017-04-01_DL_2501,990
2011-10-23_DL_2210,935
2015-08-28_DL_177,956
2015-05-10_DL_1553,975
2011-10-30_DL_2210,918
2010-03-05_DL_67,997
2017-07-09_DL_1810,931
2011-11-17_DL_1810,959
2010-07-16_DL_2111,1005
2014-01-13_DL_1390,1010
2010-04-28_DL_1265,978
2010-06-30_DL_2011,1010
2013-07-13_DL_707,1010
2017-01-16_DL_861,940
2011-02-27_DL_2011,959
2010-07-14_DL_2111,996
2014-04-30_DL_177,1043
2012-05-29_DL_75,1042
2010-10-12_DL_2011,1014
2012-12-04_DL_2210,992
2010-01-14_DL_67,996
2010-11-17_DL_2011,1045
2013-03-05_DL_910,949
2014-06-01_DL_1390,979
2010-11-06_DL_2011,978
2013-05-11_DL_1810,1001
2013-11-26_DL_2210,1006
2015-09-04_DL_1553,992
2017-03-02_DL_2501,966
2015-11-29_DL_1810,969
2015-05-08_DL_177,965
2016-09-04_DL_1103,937
2014-08-03_DL_1445,970
2013-06-29_DL_75,1011
2016-02-12_DL_177,998
2010-05-26_DL_2111,976
2012-04-27_DL_2210,978
2014-11-27_DL_1810,959
2014-09-15_DL_1445,985
2013-05-20_DL_1810,1000
2014-11-19_DL_2210,1008
2016-01-05_DL_723,940
2012-08-08_DL_910,1015
2011-04-26_DL_1911,970
2012-10-23_DL_2210,973
2011-03-15_DL_1911,1000
2016-11-28_DL_1445,965
2010-04-07_DL_1923,981
2014-06-12_DL_1445,964
2015-04-13_DL_1810,966
2015-11-11_DL_1445,959
2015-11-25_DL_1810,956
2013-04-25_DL_2210,1006
2017-05-17_DL_1810,1001
2016-12-23_DL_177,990
2016-03-31_DL_1682,975
2013-04-01_DL_2210,948
2016-12-26_DL_177,1007
2012-07-03_DL_2210,985
2016-05-24_DL_1553,944
2011-07-08_DL_910,1044
2017-07-22_DL_1445,986
2015-07-13_DL_1810,971
2013-08-11_DL_2210,1031
