FlightNum,FlightDate,temperature,dewPoint,visibility,humidity,cloudCover,pressure,windSpeed,windBearing
67,2010-01-01,49.53,22.51,10.0,0.34,0.19,1028.18,4.85,165.0
67,2010-01-02,52.31,29.44,10.0,0.41,0.2,1023.99,8.45,144.0
1927,2010-01-02,52.31,29.44,10.0,0.41,0.2,1023.99,8.45,144.0
67,2010-01-03,45.23,33.63,10.0,0.64,0.97,1024.62,10.45,9.0
1927,2010-01-03,45.23,33.63,10.0,0.64,0.97,1024.62,10.45,9.0
67,2010-01-04,37.96,20.67,9.89,0.49,0.23,1031.64,12.34,338.0
1927,2010-01-04,37.96,20.67,9.89,0.49,0.23,1031.64,12.34,338.0
1923,2010-01-05,40.12,21.12,10.0,0.46,0.47,1028.39,2.95,117.0
67,2010-01-05,40.12,21.12,10.0,0.46,0.47,1028.39,2.95,117.0
1927,2010-01-05,40.12,21.12,10.0,0.46,0.47,1028.39,2.95,117.0
1923,2010-01-06,46.86,36.27,9.83,0.66,1.0,1016.61,11.39,157.0
67,2010-01-06,46.86,36.27,9.83,0.66,1.0,1016.61,11.39,157.0
1927,2010-01-06,46.86,36.27,9.83,0.66,1.0,1016.61,11.39,157.0
1923,2010-01-07,31.1,7.23,10.0,0.36,0.2,1030.53,20.87,346.0
67,2010-01-07,31.1,7.23,10.0,0.36,0.2,1030.53,20.87,346.0
1927,2010-01-07,31.1,7.23,10.0,0.36,0.2,1030.53,20.87,346.0
1923,2010-01-08,29.54,4.24,10.0,0.33,0.25,1034.68,12.54,337.0
67,2010-01-08,29.54,4.24,10.0,0.33,0.25,1034.68,12.54,337.0
1927,2010-01-08,29.54,4.24,10.0,0.33,0.25,1034.68,12.54,337.0
1923,2010-01-09,36.01,6.76,10.0,0.29,0.0,1033.38,6.7,9.0
67,2010-01-09,36.01,6.76,10.0,0.29,0.0,1033.38,6.7,9.0
1923,2010-01-10,43.89,13.78,10.0,0.29,0.0,1034.01,8.26,183.0
67,2010-01-10,43.89,13.78,10.0,0.29,0.0,1034.01,8.26,183.0
1927,2010-01-10,43.89,13.78,10.0,0.29,0.0,1034.01,8.26,183.0
1923,2010-01-11,54.52,25.19,10.0,0.32,0.2,1027.91,8.33,253.0
67,2010-01-11,54.52,25.19,10.0,0.32,0.2,1027.91,8.33,253.0
1927,2010-01-11,54.52,25.19,10.0,0.32,0.2,1027.91,8.33,253.0
1923,2010-01-12,56.19,28.77,10.0,0.35,0.0,1029.24,2.81,61.0
67,2010-01-12,56.19,28.77,10.0,0.35,0.0,1029.24,2.81,61.0
1927,2010-01-12,56.19,28.77,10.0,0.35,0.0,1029.24,2.81,61.0
1923,2010-01-13,61.42,44.46,10.0,0.54,0.81,1020.55,14.83,170.0
67,2010-01-13,61.42,44.46,10.0,0.54,0.81,1020.55,14.83,170.0
1927,2010-01-13,61.42,44.46,10.0,0.54,0.81,1020.55,14.83,170.0
1923,2010-01-14,52.96,49.9,3.01,0.89,1.0,1017.54,7.52,134.0
67,2010-01-14,52.96,49.9,3.01,0.89,1.0,1017.54,7.52,134.0
1927,2010-01-14,52.96,49.9,3.01,0.89,1.0,1017.54,7.52,134.0
1923,2010-01-15,56.82,40.93,9.69,0.55,0.91,1020.16,7.66,57.0
67,2010-01-15,56.82,40.93,9.69,0.55,0.91,1020.16,7.66,57.0
1927,2010-01-15,56.82,40.93,9.69,0.55,0.91,1020.16,7.66,57.0
1923,2010-01-16,58.35,36.47,10.0,0.44,0.46,1014.22,10.61,346.0
67,2010-01-16,58.35,36.47,10.0,0.44,0.46,1014.22,10.61,346.0
1923,2010-01-17,63.38,40.81,10.0,0.44,0.2,1013.24,4.27,172.0
67,2010-01-17,63.38,40.81,10.0,0.44,0.2,1013.24,4.27,172.0
1927,2010-01-17,63.38,40.81,10.0,0.44,0.2,1013.24,4.27,172.0
1923,2010-01-18,68.5,52.09,10.0,0.56,0.55,1010.29,15.26,190.0
67,2010-01-18,68.5,52.09,10.0,0.56,0.55,1010.29,15.26,190.0
1927,2010-01-18,68.5,52.09,10.0,0.56,0.55,1010.29,15.26,190.0
1923,2010-01-19,69.38,56.29,10.0,0.63,0.75,1006.82,14.74,178.0
67,2010-01-19,69.38,56.29,10.0,0.63,0.75,1006.82,14.74,178.0
1927,2010-01-19,69.38,56.29,10.0,0.63,0.75,1006.82,14.74,178.0
1923,2010-01-20,69.48,60.84,9.81,0.74,0.99,999.49,11.55,185.0
67,2010-01-20,69.48,60.84,9.81,0.74,0.99,999.49,11.55,185.0
1927,2010-01-20,69.48,60.84,9.81,0.74,0.99,999.49,11.55,185.0
1923,2010-01-21,64.87,39.94,10.0,0.4,0.0,1005.18,3.43,306.0
67,2010-01-21,64.87,39.94,10.0,0.4,0.0,1005.18,3.43,306.0
1927,2010-01-21,64.87,39.94,10.0,0.4,0.0,1005.18,3.43,306.0
1923,2010-01-22,74.78,38.1,10.0,0.27,0.49,1001.48,20.64,159.0
67,2010-01-22,74.78,38.1,10.0,0.27,0.49,1001.48,20.64,159.0
1927,2010-01-22,74.78,38.1,10.0,0.27,0.49,1001.48,20.64,159.0
1923,2010-01-23,54.02,49.84,7.47,0.86,0.98,999.9,11.51,228.0
67,2010-01-23,54.02,49.84,7.47,0.86,0.98,999.9,11.51,228.0
1923,2010-01-24,54.96,32.12,10.0,0.42,0.55,1005.99,17.29,329.0
67,2010-01-24,54.96,32.12,10.0,0.42,0.55,1005.99,17.29,329.0
1927,2010-01-24,54.96,32.12,10.0,0.42,0.55,1005.99,17.29,329.0
1923,2010-01-25,57.68,18.98,10.0,0.22,0.24,1015.05,12.49,333.0
67,2010-01-25,57.68,18.98,10.0,0.22,0.24,1015.05,12.49,333.0
1927,2010-01-25,57.68,18.98,10.0,0.22,0.24,1015.05,12.49,333.0
1923,2010-01-26,58.3,22.12,10.0,0.24,0.21,1022.54,3.09,133.0
67,2010-01-26,58.3,22.12,10.0,0.24,0.21,1022.54,3.09,133.0
1927,2010-01-26,58.3,22.12,10.0,0.24,0.21,1022.54,3.09,133.0
1923,2010-01-27,65.09,50.24,10.0,0.59,0.92,1018.19,18.56,188.0
67,2010-01-27,65.09,50.24,10.0,0.59,0.92,1018.19,18.56,188.0
1927,2010-01-27,65.09,50.24,10.0,0.59,0.92,1018.19,18.56,188.0
1923,2010-01-28,53.97,51.99,3.53,0.93,1.0,1013.45,15.42,86.0
67,2010-01-28,53.97,51.99,3.53,0.93,1.0,1013.45,15.42,86.0
1927,2010-01-28,53.97,51.99,3.53,0.93,1.0,1013.45,15.42,86.0
1923,2010-01-29,34.36,30.23,7.82,0.85,1.0,1016.07,15.99,301.0
67,2010-01-29,34.36,30.23,7.82,0.85,1.0,1016.07,15.99,301.0
1927,2010-01-29,34.36,30.23,7.82,0.85,1.0,1016.07,15.99,301.0
1923,2010-01-30,30.25,22.83,10.0,0.74,1.0,1024.01,9.03,342.0
67,2010-01-30,30.25,22.83,10.0,0.74,1.0,1024.01,9.03,342.0
1923,2010-01-31,35.87,28.4,9.63,0.74,0.99,1023.42,3.62,100.0
67,2010-01-31,35.87,28.4,9.63,0.74,0.99,1023.42,3.62,100.0
1927,2010-01-31,35.87,28.4,9.63,0.74,0.99,1023.42,3.62,100.0
1923,2010-02-01,44.92,36.22,8.19,0.71,1.0,1016.72,8.22,200.0
67,2010-02-01,44.92,36.22,8.19,0.71,1.0,1016.72,8.22,200.0
1927,2010-02-01,44.92,36.22,8.19,0.71,1.0,1016.72,8.22,200.0
1923,2010-02-02,50.14,35.29,9.86,0.57,0.45,1021.83,8.05,31.0
67,2010-02-02,50.14,35.29,9.86,0.57,0.45,1021.83,8.05,31.0
1927,2010-02-02,50.14,35.29,9.86,0.57,0.45,1021.83,8.05,31.0
1923,2010-02-03,44.42,39.12,6.65,0.82,0.96,1016.94,11.95,57.0
67,2010-02-03,44.42,39.12,6.65,0.82,0.96,1016.94,11.95,57.0
1927,2010-02-03,44.42,39.12,6.65,0.82,0.96,1016.94,11.95,57.0
1923,2010-02-04,43.27,41.32,3.12,0.93,1.0,1011.5,5.08,73.0
67,2010-02-04,43.27,41.32,3.12,0.93,1.0,1011.5,5.08,73.0
1927,2010-02-04,43.27,41.32,3.12,0.93,1.0,1011.5,5.08,73.0
1923,2010-02-05,56.06,40.88,10.0,0.57,0.31,1011.61,12.44,285.0
67,2010-02-05,56.06,40.88,10.0,0.57,0.31,1011.61,12.44,285.0
1927,2010-02-05,56.06,40.88,10.0,0.57,0.31,1011.61,12.44,285.0
1923,2010-02-06,42.71,31.63,9.94,0.65,0.9,1020.08,8.21,7.0
67,2010-02-06,42.71,31.63,9.94,0.65,0.9,1020.08,8.21,7.0
1923,2010-02-07,42.25,36.55,6.1,0.8,1.0,1014.88,6.17,105.0
67,2010-02-07,42.25,36.55,6.1,0.8,1.0,1014.88,6.17,105.0
1927,2010-02-07,42.25,36.55,6.1,0.8,1.0,1014.88,6.17,105.0
1923,2010-02-08,41.26,37.98,4.8,0.88,1.0,1011.01,13.62,356.0
67,2010-02-08,41.26,37.98,4.8,0.88,1.0,1011.01,13.62,356.0
1927,2010-02-08,41.26,37.98,4.8,0.88,1.0,1011.01,13.62,356.0
1923,2010-02-09,41.78,18.78,10.0,0.39,0.21,1025.17,14.01,350.0
67,2010-02-09,41.78,18.78,10.0,0.39,0.21,1025.17,14.01,350.0
1927,2010-02-09,41.78,18.78,10.0,0.39,0.21,1025.17,14.01,350.0
1923,2010-02-10,38.81,19.52,9.93,0.45,0.98,1024.63,2.88,116.0
67,2010-02-10,38.81,19.52,9.93,0.45,0.98,1024.63,2.88,116.0
1927,2010-02-10,38.81,19.52,9.93,0.45,0.98,1024.63,2.88,116.0
1923,2010-02-11,33.54,30.51,0.61,0.88,1.0,1015.78,4.25,81.0
67,2010-02-11,33.54,30.51,0.61,0.88,1.0,1015.78,4.25,81.0
1927,2010-02-11,33.54,30.51,0.61,0.88,1.0,1015.78,4.25,81.0
1923,2010-02-12,35.12,30.61,8.15,0.83,1.0,1020.17,6.85,278.0
67,2010-02-12,35.12,30.61,8.15,0.83,1.0,1020.17,6.85,278.0
1927,2010-02-12,35.12,30.61,8.15,0.83,1.0,1020.17,6.85,278.0
1923,2010-02-13,41.78,35.26,9.64,0.77,0.08,1014.98,12.53,163.0
67,2010-02-13,41.78,35.26,9.64,0.77,0.08,1014.98,12.53,163.0
1923,2010-02-14,37.8,29.19,10.0,0.71,1.0,1020.54,21.65,0.0
67,2010-02-14,37.8,29.19,10.0,0.71,1.0,1020.54,21.65,0.0
1923,2010-02-15,44.92,16.55,10.0,0.32,0.19,1022.88,22.17,313.0
67,2010-02-15,44.92,16.55,10.0,0.32,0.19,1022.88,22.17,313.0
1927,2010-02-15,44.92,16.55,10.0,0.32,0.19,1022.88,22.17,313.0
1923,2010-02-16,48.84,13.1,10.0,0.23,0.2,1023.55,15.81,318.0
67,2010-02-16,48.84,13.1,10.0,0.23,0.2,1023.55,15.81,318.0
1927,2010-02-16,48.84,13.1,10.0,0.23,0.2,1023.55,15.81,318.0
1923,2010-02-17,52.97,23.83,10.0,0.32,0.0,1023.47,8.99,321.0
67,2010-02-17,52.97,23.83,10.0,0.32,0.0,1023.47,8.99,321.0
1927,2010-02-17,52.97,23.83,10.0,0.32,0.0,1023.47,8.99,321.0
1923,2010-02-18,61.94,29.64,10.0,0.29,0.21,1018.67,11.02,160.0
67,2010-02-18,61.94,29.64,10.0,0.29,0.21,1018.67,11.02,160.0
1927,2010-02-18,61.94,29.64,10.0,0.29,0.21,1018.67,11.02,160.0
1923,2010-02-19,56.18,46.15,9.93,0.69,0.98,1015.3,13.76,180.0
67,2010-02-19,56.18,46.15,9.93,0.69,0.98,1015.3,13.76,180.0
1927,2010-02-19,56.18,46.15,9.93,0.69,0.98,1015.3,13.76,180.0
1923,2010-02-20,60.57,51.97,9.45,0.73,1.0,1013.64,12.98,157.0
67,2010-02-20,60.57,51.97,9.45,0.73,1.0,1013.64,12.98,157.0
1923,2010-02-21,62.64,54.13,10.0,0.74,0.69,1006.09,17.53,326.0
67,2010-02-21,62.64,54.13,10.0,0.74,0.69,1006.09,17.53,326.0
1927,2010-02-21,62.64,54.13,10.0,0.74,0.69,1006.09,17.53,326.0
1923,2010-02-22,38.19,30.46,9.84,0.73,1.0,1014.8,10.5,344.0
67,2010-02-22,38.19,30.46,9.84,0.73,1.0,1014.8,10.5,344.0
1927,2010-02-22,38.19,30.46,9.84,0.73,1.0,1014.8,10.5,344.0
1923,2010-02-23,39.86,23.71,9.82,0.52,0.85,1018.89,11.71,344.0
67,2010-02-23,39.86,23.71,9.82,0.52,0.85,1018.89,11.71,344.0
1927,2010-02-23,39.86,23.71,9.82,0.52,0.85,1018.89,11.71,344.0
1923,2010-02-24,46.54,18.11,10.0,0.32,0.0,1023.01,2.94,322.0
67,2010-02-24,46.54,18.11,10.0,0.32,0.0,1023.01,2.94,322.0
1927,2010-02-24,46.54,18.11,10.0,0.32,0.0,1023.01,2.94,322.0
1923,2010-02-25,55.92,28.41,10.0,0.35,0.56,1012.17,21.16,166.0
67,2010-02-25,55.92,28.41,10.0,0.35,0.56,1012.17,21.16,166.0
1927,2010-02-25,55.92,28.41,10.0,0.35,0.56,1012.17,21.16,166.0
1923,2010-02-26,40.52,37.12,8.46,0.88,1.0,1017.28,14.78,344.0
67,2010-02-26,40.52,37.12,8.46,0.88,1.0,1017.28,14.78,344.0
1927,2010-02-26,40.52,37.12,8.46,0.88,1.0,1017.28,14.78,344.0
1923,2010-02-27,63.72,29.66,9.94,0.28,0.23,1018.09,7.69,355.0
67,2010-02-27,63.72,29.66,9.94,0.28,0.23,1018.09,7.69,355.0
1923,2010-02-28,62.3,31.44,10.0,0.31,0.59,1011.34,16.03,117.0
67,2010-02-28,62.3,31.44,10.0,0.31,0.59,1011.34,16.03,117.0
1927,2010-02-28,62.3,31.44,10.0,0.31,0.59,1011.34,16.03,117.0
1923,2010-03-01,43.02,39.17,4.27,0.86,1.0,1014.69,20.55,27.0
67,2010-03-01,43.02,39.17,4.27,0.86,1.0,1014.69,20.55,27.0
