Carrier,FlightNum,FlightDate,CRSDepTime,DepDelay
DL,1923,2010-02-27,1505,-4.00
DL,67,2010-02-27,1630,-3.00
DL,1923,2010-02-28,1505,-5.00
DL,67,2010-02-28,1630,-1.00
DL,1927,2010-02-28,1745,5.00
DL,1923,2010-03-01,1505,-5.00
DL,67,2010-03-01,1630,-1.00
DL,1927,2010-03-01,1745,-6.00
DL,1923,2010-03-02,1505,
DL,67,2010-03-02,1630,
DL,1927,2010-03-02,1745,60.00
DL,1923,2010-03-03,1505,-2.00
DL,67,2010-03-03,1630,-5.00
DL,1927,2010-03-03,1745,-3.00
DL,1923,2010-03-04,1505,-1.00
DL,67,2010-03-04,1630,-1.00
DL,1927,2010-03-04,1745,13.00
DL,1923,2010-03-05,1505,-3.00
DL,67,2010-03-05,1630,-3.00
DL,1927,2010-03-05,1745,-4.00
DL,1923,2010-03-06,1505,-3.00
DL,67,2010-03-06,1630,39.00
DL,1923,2010-03-07,1505,0.00
DL,67,2010-03-07,1630,-5.00
DL,1927,2010-03-07,1745,-1.00
DL,1923,2010-03-08,1505,-4.00
DL,67,2010-03-08,1630,21.00
DL,1927,2010-03-08,1745,15.00
DL,1923,2010-03-09,1505,-8.00
DL,67,2010-03-09,1630,-4.00
DL,1927,2010-03-09,1745,-9.00
DL,1923,2010-03-10,1505,-2.00
DL,67,2010-03-10,1630,75.00
DL,1927,2010-03-10,1745,0.00
DL,1923,2010-03-11,1505,40.00
DL,67,2010-03-11,1630,30.00
DL,1927,2010-03-11,1745,50.00
DL,1923,2010-03-12,1505,253.00
DL,67,2010-03-12,1630,92.00
DL,1927,2010-03-12,1745,125.00
DL,1923,2010-03-13,1505,-5.00
DL,67,2010-03-13,1630,16.00
DL,1923,2010-03-14,1505,-2.00
DL,1263,2010-03-14,1630,10.00
DL,1927,2010-03-14,1745,-4.00
DL,1923,2010-03-15,1505,-6.00
DL,67,2010-03-15,1630,-2.00
DL,1927,2010-03-15,1745,-3.00
DL,1923,2010-03-16,1505,
DL,67,2010-03-16,1630,-6.00
DL,1927,2010-03-16,1745,-3.00
DL,1923,2010-03-17,1505,-3.00
DL,67,2010-03-17,1630,62.00
DL,1927,2010-03-17,1745,0.00
DL,1923,2010-03-18,1505,-2.00
DL,67,2010-03-18,1630,31.00
DL,1927,2010-03-18,1745,3.00
DL,1923,2010-03-19,1505,-2.00
DL,67,2010-03-19,1630,7.00
DL,1927,2010-03-19,1745,-5.00
DL,1923,2010-03-20,1505,23.00
DL,67,2010-03-20,1630,-2.00
DL,1923,2010-03-21,1505,61.00
DL,67,2010-03-21,1630,51.00
DL,1927,2010-03-21,1745,47.00
DL,1923,2010-03-22,1505,-1.00
DL,67,2010-03-22,1630,10.00
DL,1927,2010-03-22,1745,4.00
DL,1923,2010-03-23,1505,-2.00
DL,67,2010-03-23,1630,-2.00
DL,1927,2010-03-23,1745,15.00
DL,1923,2010-03-24,1505,17.00
DL,67,2010-03-24,1630,-3.00
DL,1927,2010-03-24,1745,14.00
DL,1923,2010-03-25,1505,39.00
DL,67,2010-03-25,1630,-1.00
DL,1927,2010-03-25,1745,-1.00
DL,1923,2010-03-26,1505,-2.00
DL,67,2010-03-26,1630,-4.00
DL,1927,2010-03-26,1745,2.00
DL,1923,2010-03-27,1505,19.00
DL,67,2010-03-27,1630,0.00
DL,1923,2010-03-28,1505,2.00
DL,67,2010-03-28,1630,-5.00
DL,1927,2010-03-28,1745,7.00
DL,1923,2010-03-29,1505,-4.00
DL,67,2010-03-29,1630,-5.00
DL,1927,2010-03-29,1745,59.00
DL,1923,2010-03-30,1505,22.00
DL,67,2010-03-30,1630,0.00
DL,1927,2010-03-30,1745,0.00
DL,1923,2010-03-31,1505,-6.00
DL,67,2010-03-31,1630,7.00
DL,1927,2010-03-31,1745,2.00
DL,1923,2010-04-01,1505,18.00
DL,67,2010-04-01,1630,-4.00
DL,1927,2010-04-01,1745,0.00
DL,1923,2010-04-02,1505,-6.00
DL,67,2010-04-02,1630,-3.00
DL,1927,2010-04-02,1745,-3.00
DL,1923,2010-04-03,1505,0.00
DL,67,2010-04-03,1630,-4.00
DL,1923,2010-04-04,1505,2.00
DL,67,2010-04-04,1630,-1.00
DL,1927,2010-04-04,1745,-1.00
DL,1923,2010-04-05,1505,0.00
DL,67,2010-04-05,1630,-2.00
DL,1927,2010-04-05,1745,0.00
DL,1923,2010-04-06,1505,-3.00
DL,67,2010-04-06,1615,-2.00
DL,1265,2010-04-06,1723,3.00
DL,1923,2010-04-07,1505,-4.00
DL,67,2010-04-07,1615,-4.00
DL,1265,2010-04-07,1723,-2.00
DL,1923,2010-04-08,1505,22.00
DL,67,2010-04-08,1615,38.00
DL,1265,2010-04-08,1723,164.00
DL,1923,2010-04-09,1505,-5.00
DL,67,2010-04-09,1615,-3.00
DL,1265,2010-04-09,1723,-1.00
DL,1923,2010-04-10,1505,-5.00
DL,67,2010-04-10,1615,1.00
DL,1923,2010-04-11,1505,-1.00
DL,67,2010-04-11,1615,-3.00
DL,1265,2010-04-11,1723,-1.00
DL,1923,2010-04-12,1505,-4.00
DL,67,2010-04-12,1615,3.00
DL,1265,2010-04-12,1723,0.00
DL,1923,2010-04-13,1505,2.00
DL,67,2010-04-13,1615,-4.00
DL,1265,2010-04-13,1723,-3.00
DL,1923,2010-04-14,1505,-1.00
DL,67,2010-04-14,1615,-3.00
DL,1265,2010-04-14,1723,1.00
DL,1923,2010-04-15,1505,-6.00
DL,67,2010-04-15,1615,-1.00
DL,1265,2010-04-15,1723,-2.00
DL,1923,2010-04-16,1505,-2.00
DL,67,2010-04-16,1615,-8.00
DL,1265,2010-04-16,1723,20.00
DL,1923,2010-04-17,1505,-4.00
DL,67,2010-04-17,1615,-1.00
DL,1923,2010-04-18,1505,7.00
DL,67,2010-04-18,1615,5.00
DL,1265,2010-04-18,1723,-2.00
DL,1923,2010-04-19,1505,-6.00
DL,67,2010-04-19,1615,-5.00
DL,1265,2010-04-19,1723,-4.00
DL,1923,2010-04-20,1505,-5.00
DL,67,2010-04-20,1615,-3.00
DL,1265,2010-04-20,1723,-5.00
DL,1923,2010-04-21,1505,2.00
DL,67,2010-04-21,1615,-6.00
DL,1265,2010-04-21,1723,-1.00
DL,1923,2010-04-22,1505,-6.00
DL,67,2010-04-22,1615,0.00
DL,1265,2010-04-22,1723,0.00
DL,1923,2010-04-23,1505,-6.00
DL,67,2010-04-23,1615,2.00
DL,1265,2010-04-23,1723,12.00
DL,1923,2010-04-24,1505,
DL,67,2010-04-24,1615,
DL,1923,2010-04-25,1505,23.00
DL,67,2010-04-25,1615,1.00
DL,1265,2010-04-25,1723,0.00
DL,1923,2010-04-26,1505,-4.00
DL,67,2010-04-26,1615,2.00
DL,1265,2010-04-26,1723,0.00
DL,1923,2010-04-27,1505,-3.00
DL,67,2010-04-27,1615,-2.00
DL,1265,2010-04-27,1723,25.00
DL,1923,2010-04-28,1505,-4.00
DL,67,2010-04-28,1615,-2.00
DL,1265,2010-04-28,1723,1.00
DL,1923,2010-04-29,1505,5.00
DL,67,2010-04-29,1615,6.00
DL,1265,2010-04-29,1723,-5.00
DL,1923,2010-04-30,1505,0.00
DL,67,2010-04-30,1615,-1.00
DL,1265,2010-04-30,1723,18.00
DL,2111,2010-05-01,1505,4.00
DL,2011,2010-05-01,1615,-3.00
DL,2111,2010-05-02,1505,14.00
DL,2011,2010-05-02,1615,33.00
DL,1911,2010-05-02,1724,28.00
DL,2111,2010-05-03,1505,40.00
DL,2011,2010-05-03,1615,61.00
DL,1911,2010-05-03,1724,
DL,2111,2010-05-04,1505,7.00
DL,2011,2010-05-04,1615,-1.00
DL,1911,2010-05-04,1724,-5.00
DL,2111,2010-05-05,1505,7.00
DL,2011,2010-05-05,1615,2.00
DL,1911,2010-05-05,1724,6.00
DL,2111,2010-05-06,1505,2.00
DL,2011,2010-05-06,1615,9.00
DL,1911,2010-05-06,1724,1.00
DL,2111,2010-05-07,1505,-5.00
DL,2011,2010-05-07,1615,9.00
DL,1911,2010-05-07,1724,-6.00
DL,2111,2010-05-08,1505,-2.00
DL,2011,2010-05-08,1615,-4.00
DL,2111,2010-05-09,1505,-2.00
DL,2011,2010-05-09,1615,-2.00
DL,1911,2010-05-09,1724,17.00
DL,2111,2010-05-10,1505,51.00
DL,2011,2010-05-10,1615,-1.00
DL,1911,2010-05-10,1724,20.00
DL,2111,2010-05-11,1505,11.00
DL,2011,2010-05-11,1615,-5.00
DL,1911,2010-05-11,1724,-5.00
DL,2111,2010-05-12,1505,-3.00
DL,2011,2010-05-12,1615,1.00
DL,1911,2010-05-12,1724,-3.00
DL,2111,2010-05-13,1505,-5.00
DL,2011,2010-05-13,1615,-1.00
DL,1911,2010-05-13,1724,16.00
DL,2111,2010-05-14,1505,200.00
DL,2011,2010-05-14,1615,222.00
DL,1911,2010-05-14,1724,65.00
DL,2111,2010-05-15,1505,10.00
DL,2011,2010-05-15,1615,0.00
DL,2111,2010-05-16,1505,9.00
DL,2011,2010-05-16,1615,3.00
DL,1911,2010-05-16,1724,38.00
DL,2111,2010-05-17,1505,0.00
DL,2011,2010-05-17,1615,2.00
DL,1911,2010-05-17,1724,1.00
DL,2111,2010-05-18,1505,-9.00
DL,2011,2010-05-18,1615,-4.00
DL,1911,2010-05-18,1724,2.00
DL,2111,2010-05-19,1505,3.00
DL,2011,2010-05-19,1615,9.00
DL,1911,2010-05-19,1724,-3.00
DL,2111,2010-05-20,1505,28.00
DL,2011,2010-05-20,1615,-2.00
DL,1911,2010-05-20,1724,0.00
DL,2111,2010-05-21,1505,90.00
DL,2011,2010-05-21,1615,
DL,1911,2010-05-21,1724,148.00
DL,2111,2010-05-22,1505,28.00
DL,2011,2010-05-22,1615,10.00
DL,2111,2010-05-23,1505,-5.00
DL,2011,2010-05-23,1615,-1.00
DL,1911,2010-05-23,1724,5.00
DL,2111,2010-05-24,1505,-4.00
DL,2011,2010-05-24,1615,-2.00
DL,1911,2010-05-24,1724,8.00
DL,2111,2010-05-25,1505,3.00
DL,2011,2010-05-25,1615,-6.00
DL,1911,2010-05-25,1724,15.00
DL,2111,2010-05-26,1505,-3.00
DL,2011,2010-05-26,1615,-3.00
DL,1911,2010-05-26,1724,-4.00
DL,2111,2010-05-27,1505,1.00
DL,2011,2010-05-27,1615,-3.00
DL,1911,2010-05-27,1724,7.00
DL,2111,2010-05-28,1505,-4.00
DL,2011,2010-05-28,1615,53.00
DL,1911,2010-05-28,1724,0.00
DL,2111,2010-05-29,1505,-1.00
DL,2011,2010-05-29,1615,3.00
DL,2111,2010-05-30,1505,0.00
DL,2011,2010-05-30,1615,-3.00
DL,2111,2010-05-31,1505,29.00
DL,2011,2010-05-31,1615,11.00
DL,1911,2010-05-31,1724,14.00
DL,2111,2010-06-01,1505,9.00
DL,2011,2010-06-01,1615,1.00
DL,1911,2010-06-01,1724,0.00
DL,2111,2010-06-02,1505,2.00
DL,2011,2010-06-02,1615,7.00
DL,1911,2010-06-02,1724,23.00
DL,2111,2010-06-03,1505,0.00
DL,2011,2010-06-03,1615,6.00
DL,1911,2010-06-03,1724,-5.00
DL,2111,2010-06-04,1505,5.00
DL,2011,2010-06-04,1615,26.00
DL,1911,2010-06-04,1724,54.00
DL,2111,2010-06-05,1505,-3.00
DL,2011,2010-06-05,1615,-3.00
DL,2111,2010-06-06,1505,6.00
DL,2011,2010-06-06,1615,79.00
DL,1911,2010-06-06,1724,202.00
DL,2111,2010-06-07,1505,15.00
DL,2011,2010-06-07,1615,4.00
DL,1911,2010-06-07,1724,-3.00
DL,2111,2010-06-08,1505,-4.00
DL,2011,2010-06-08,1615,-4.00
DL,1911,2010-06-08,1724,-2.00
DL,2111,2010-06-09,1505,10.00
DL,2011,2010-06-09,1615,9.00
DL,1911,2010-06-09,1724,1.00
DL,2111,2010-06-10,1505,3.00
DL,2011,2010-06-10,1615,24.00
DL,1911,2010-06-10,1715,60.00
DL,2111,2010-06-11,1505,0.00
DL,2011,2010-06-11,1615,-1.00
DL,1911,2010-06-11,1715,41.00
DL,2111,2010-06-12,1505,247.00
DL,2011,2010-06-12,1615,4.00
DL,2111,2010-06-13,1505,1.00
DL,2011,2010-06-13,1615,1.00
DL,1911,2010-06-13,1715,9.00
DL,2111,2010-06-14,1505,18.00
DL,2011,2010-06-14,1615,9.00
DL,1911,2010-06-14,1715,78.00
DL,2111,2010-06-15,1505,0.00
DL,2011,2010-06-15,1615,-1.00
DL,1911,2010-06-15,1715,55.00
DL,2111,2010-06-16,1505,5.00
DL,2011,2010-06-16,1615,15.00
DL,1911,2010-06-16,1715,-3.00
DL,2111,2010-06-17,1505,27.00
DL,2011,2010-06-17,1615,-2.00
DL,1911,2010-06-17,1715,13.00
DL,2111,2010-06-18,1505,-3.00
DL,2011,2010-06-18,1615,-4.00
DL,1911,2010-06-18,1715,10.00
DL,2111,2010-06-19,1505,53.00
DL,2011,2010-06-19,1615,0.00
DL,2111,2010-06-20,1505,-4.00
DL,2011,2010-06-20,1615,0.00
DL,1911,2010-06-20,1715,11.00
DL,2111,2010-06-21,1505,-3.00
DL,2011,2010-06-21,1615,-4.00
DL,1911,2010-06-21,1715,1.00
DL,2111,2010-06-22,1505,-8.00
DL,2011,2010-06-22,1615,32.00
DL,1911,2010-06-22,1715,21.00
DL,2111,2010-06-23,1505,-4.00
DL,2011,2010-06-23,1615,-1.00
DL,1911,2010-06-23,1715,4.00
DL,2111,2010-06-24,1505,8.00
DL,2011,2010-06-24,1615,-2.00
DL,1911,2010-06-24,1715,46.00
DL,2111,2010-06-25,1505,11.00
DL,2011,2010-06-25,1615,40.00
DL,1911,2010-06-25,1715,79.00
DL,2111,2010-06-26,1505,-2.00
DL,2011,2010-06-26,1615,35.00
DL,2111,2010-06-27,1505,20.00
DL,2011,2010-06-27,1615,29.00
DL,1911,2010-06-27,1715,-3.00
DL,2111,2010-06-28,1505,-5.00
DL,2011,2010-06-28,1615,28.00
DL,1911,2010-06-28,1715,238.00
DL,2111,2010-06-29,1505,-3.00
DL,2011,2010-06-29,1615,-1.00
DL,1911,2010-06-29,1715,8.00
DL,2111,2010-06-30,1505,12.00
DL,2011,2010-06-30,1615,36.00
DL,1911,2010-06-30,1715,7.00
DL,2111,2010-07-01,1505,-7.00
DL,2011,2010-07-01,1615,1.00
DL,1911,2010-07-01,1715,1.00
DL,2111,2010-07-02,1505,-1.00
DL,2011,2010-07-02,1615,0.00
DL,1911,2010-07-02,1715,36.00
DL,2111,2010-07-03,1505,25.00
DL,2011,2010-07-03,1615,-3.00
DL,2111,2010-07-04,1505,-2.00
DL,2011,2010-07-04,1615,-4.00
DL,2111,2010-07-05,1505,-4.00
DL,2011,2010-07-05,1615,-2.00
DL,1911,2010-07-05,1715,-2.00
DL,2111,2010-07-06,1505,0.00
DL,2011,2010-07-06,1615,15.00
DL,1911,2010-07-06,1715,0.00
DL,2111,2010-07-07,1505,2.00
DL,2011,2010-07-07,1615,-1.00
DL,1911,2010-07-07,1715,4.00
DL,2111,2010-07-08,1505,1.00
DL,2011,2010-07-08,1615,0.00
DL,1911,2010-07-08,1715,7.00
DL,2111,2010-07-09,1505,-4.00
DL,2011,2010-07-09,1615,6.00
DL,1911,2010-07-09,1715,9.00
DL,2111,2010-07-10,1505,49.00
DL,2011,2010-07-10,1615,7.00
DL,2111,2010-07-11,1505,1.00
DL,2011,2010-07-11,1615,-1.00
DL,1911,2010-07-11,1715,13.00
DL,2111,2010-07-12,1505,5.00
DL,1911,2010-07-12,1715,
DL,2111,2010-07-13,1505,1.00
DL,2011,2010-07-13,1615,-1.00
DL,1911,2010-07-13,1715,43.00
DL,2111,2010-07-14,1505,-2.00
DL,2011,2010-07-14,1615,0.00
DL,1911,2010-07-14,1715,44.00
DL,2111,2010-07-15,1505,-5.00
DL,2011,2010-07-15,1615,14.00
DL,1911,2010-07-15,1715,10.00
DL,2111,2010-07-16,1505,57.00
DL,2011,2010-07-16,1615,57.00
DL,1911,2010-07-16,1715,41.00
DL,2111,2010-07-17,1505,21.00
DL,2011,2010-07-17,1615,30.00
DL,2111,2010-07-18,1505,10.00
DL,2011,2010-07-18,1615,66.00
DL,1911,2010-07-18,1715,72.00
DL,2111,2010-07-19,1505,90.00
DL,1911,2010-07-19,1715,7.00
DL,2111,2010-07-20,1505,-2.00
DL,2011,2010-07-20,1615,0.00
DL,1911,2010-07-20,1715,47.00
DL,2111,2010-07-21,1505,-2.00
DL,2011,2010-07-21,1615,39.00
DL,1911,2010-07-21,1715,18.00
DL,2111,2010-07-22,1505,10.00
DL,2011,2010-07-22,1615,5.00
DL,1911,2010-07-22,1715,3.00
DL,2111,2010-07-23,1505,15.00
DL,2011,2010-07-23,1615,-3.00
DL,1911,2010-07-23,1715,12.00
DL,2111,2010-07-24,1505,99.00
DL,2011,2010-07-24,1615,19.00
DL,2111,2010-07-25,1505,-1.00
DL,2011,2010-07-25,1615,0.00
DL,1911,2010-07-25,1715,9.00
DL,2111,2010-07-26,1505,-1.00
DL,2011,2010-07-26,1615,19.00
DL,1911,2010-07-26,1715,0.00
DL,2111,2010-07-27,1505,4.00
DL,2011,2010-07-27,1615,7.00
DL,1911,2010-07-27,1715,-4.00
DL,2111,2010-07-28,1505,0.00
DL,2011,2010-07-28,1615,-1.00
DL,1911,2010-07-28,1715,8.00
DL,2111,2010-07-29,1505,0.00
DL,2011,2010-07-29,1615,7.00
DL,1911,2010-07-29,1715,27.00
DL,2111,2010-07-30,1505,2.00
DL,2011,2010-07-30,1615,0.00
DL,1911,2010-07-30,1715,32.00
DL,2111,2010-07-31,1505,91.00
DL,2011,2010-07-31,1615,14.00
DL,2111,2010-08-01,1505,-4.00
DL,2011,2010-08-01,1615,-3.00
DL,1911,2010-08-01,1715,-2.00
