FlightNum,FlightDate,Origin_CLT_Del1,Origin_CLT_Del2,Origin_CLT_Del3,Origin_CLT_Del4,Origin_CLT_Del5,Origin_SAV_Del1,Origin_SAV_Del2,Origin_SAV_Del3,Origin_SAV_Del4,Origin_SAV_Del5,Origin_BNA_Del1,Origin_BNA_Del2,Origin_BNA_Del3,Origin_BNA_Del4,Origin_BNA_Del5
67,2010-01-01,-4.00,8.00,31.00,1440,-2.00,-1.00,21.00,2.00,-3.00,5.00,14.00,2.00,-8.00,-8.00,-2.00
67,2010-01-02,0.00,1440,60.00,-1.00,-3.00,138.00,-4.00,-7.00,0.00,-8.00,6.00,12.00,8.00,18.00,14.00
1927,2010-01-02,0.00,1440,60.00,-1.00,-3.00,138.00,-4.00,-7.00,0.00,-8.00,6.00,12.00,8.00,18.00,14.00
67,2010-01-03,6.00,1440,15.00,91.00,4.00,14.00,-3.00,-10.00,-4.00,4.00,19.00,24.00,-2.00,-1.00,1440
1927,2010-01-03,6.00,1440,15.00,91.00,4.00,14.00,-3.00,-10.00,-4.00,4.00,19.00,24.00,-2.00,-1.00,1440
67,2010-01-04,0.00,-2.00,14.00,0.00,12.00,1440,31.00,54.00,121.00,19.00,12.00,20.00,19.00,17.00,25.00
1927,2010-01-04,0.00,-2.00,14.00,0.00,12.00,1440,31.00,54.00,121.00,19.00,12.00,20.00,19.00,17.00,25.00
1923,2010-01-05,2.00,0.00,44.00,-4.00,-1.00,132.00,-8.00,-5.00,58.00,-12.00,3.00,3.00,16.00,33.00,71.00
67,2010-01-05,2.00,0.00,44.00,-4.00,-1.00,132.00,-8.00,-5.00,58.00,-12.00,3.00,3.00,16.00,33.00,71.00
1927,2010-01-05,2.00,0.00,44.00,-4.00,-1.00,132.00,-8.00,-5.00,58.00,-12.00,3.00,3.00,16.00,33.00,71.00
1923,2010-01-06,-3.00,1440,2.00,-2.00,-4.00,-3.00,-1.00,1.00,-7.00,-6.00,0.00,17.00,189.00,27.00,9.00
67,2010-01-06,-3.00,1440,2.00,-2.00,-4.00,-3.00,-1.00,1.00,-7.00,-6.00,0.00,17.00,189.00,27.00,9.00
1927,2010-01-06,-3.00,1440,2.00,-2.00,-4.00,-3.00,-1.00,1.00,-7.00,-6.00,0.00,17.00,189.00,27.00,9.00
1923,2010-01-07,41.00,96.00,-4.00,-2.00,-6.00,0.00,-10.00,-4.00,12.00,1440,12.00,8.00,19.00,8.00,27.00
67,2010-01-07,41.00,96.00,-4.00,-2.00,-6.00,0.00,-10.00,-4.00,12.00,1440,12.00,8.00,19.00,8.00,27.00
1927,2010-01-07,41.00,96.00,-4.00,-2.00,-6.00,0.00,-10.00,-4.00,12.00,1440,12.00,8.00,19.00,8.00,27.00
1923,2010-01-08,-14.00,47.00,21.00,-3.00,3.00,1.00,0.00,-10.00,112.00,240.00,-6.00,-1.00,21.00,3.00,77.00
67,2010-01-08,-14.00,47.00,21.00,-3.00,3.00,1.00,0.00,-10.00,112.00,240.00,-6.00,-1.00,21.00,3.00,77.00
1927,2010-01-08,-14.00,47.00,21.00,-3.00,3.00,1.00,0.00,-10.00,112.00,240.00,-6.00,-1.00,21.00,3.00,77.00
1923,2010-01-09,-4.00,0.00,25.00,-3.00,-9.00,-6.00,-2.00,-6.00,6.00,5.00,13.00,36.00,1.00,-2.00,79.00
67,2010-01-09,-4.00,0.00,25.00,-3.00,-9.00,-6.00,-2.00,-6.00,6.00,5.00,13.00,36.00,1.00,-2.00,79.00
1923,2010-01-10,-7.00,151.00,-6.00,1.00,1.00,26.00,-10.00,-2.00,20.00,-14.00,3.00,10.00,12.00,1.00,0.00
67,2010-01-10,-7.00,151.00,-6.00,1.00,1.00,26.00,-10.00,-2.00,20.00,-14.00,3.00,10.00,12.00,1.00,0.00
1927,2010-01-10,-7.00,151.00,-6.00,1.00,1.00,26.00,-10.00,-2.00,20.00,-14.00,3.00,10.00,12.00,1.00,0.00
1923,2010-01-11,-8.00,-7.00,-2.00,-6.00,1.00,-4.00,-5.00,-14.00,-1.00,9.00,-1.00,-5.00,13.00,-2.00,7.00
67,2010-01-11,-8.00,-7.00,-2.00,-6.00,1.00,-4.00,-5.00,-14.00,-1.00,9.00,-1.00,-5.00,13.00,-2.00,7.00
1927,2010-01-11,-8.00,-7.00,-2.00,-6.00,1.00,-4.00,-5.00,-14.00,-1.00,9.00,-1.00,-5.00,13.00,-2.00,7.00
1923,2010-01-12,-6.00,9.00,-1.00,-10.00,-7.00,-8.00,-13.00,91.00,-11.00,-5.00,-2.00,17.00,6.00,8.00,9.00
67,2010-01-12,-6.00,9.00,-1.00,-10.00,-7.00,-8.00,-13.00,91.00,-11.00,-5.00,-2.00,17.00,6.00,8.00,9.00
1927,2010-01-12,-6.00,9.00,-1.00,-10.00,-7.00,-8.00,-13.00,91.00,-11.00,-5.00,-2.00,17.00,6.00,8.00,9.00
1923,2010-01-13,-5.00,-2.00,1.00,-10.00,-1.00,-3.00,-2.00,24.00,-9.00,-4.00,-8.00,2.00,13.00,102.00,-4.00
67,2010-01-13,-5.00,-2.00,1.00,-10.00,-1.00,-3.00,-2.00,24.00,-9.00,-4.00,-8.00,2.00,13.00,102.00,-4.00
1927,2010-01-13,-5.00,-2.00,1.00,-10.00,-1.00,-3.00,-2.00,24.00,-9.00,-4.00,-8.00,2.00,13.00,102.00,-4.00
1923,2010-01-14,12.00,-3.00,77.00,78.00,-1.00,-12.00,-10.00,0.00,-1.00,-10.00,-3.00,-5.00,2.00,1.00,-6.00
67,2010-01-14,12.00,-3.00,77.00,78.00,-1.00,-12.00,-10.00,0.00,-1.00,-10.00,-3.00,-5.00,2.00,1.00,-6.00
1927,2010-01-14,12.00,-3.00,77.00,78.00,-1.00,-12.00,-10.00,0.00,-1.00,-10.00,-3.00,-5.00,2.00,1.00,-6.00
1923,2010-01-15,-11.00,3.00,-2.00,-3.00,-1.00,5.00,155.00,-9.00,11.00,33.00,1.00,1.00,6.00,-1.00,6.00
67,2010-01-15,-11.00,3.00,-2.00,-3.00,-1.00,5.00,155.00,-9.00,11.00,33.00,1.00,1.00,6.00,-1.00,6.00
1927,2010-01-15,-11.00,3.00,-2.00,-3.00,-1.00,5.00,155.00,-9.00,11.00,33.00,1.00,1.00,6.00,-1.00,6.00
1923,2010-01-16,7.00,-5.00,-1.00,-7.00,-8.00,24.00,-10.00,-7.00,0.00,-8.00,8.00,-6.00,37.00,-2.00,0.00
67,2010-01-16,7.00,-5.00,-1.00,-7.00,-8.00,24.00,-10.00,-7.00,0.00,-8.00,8.00,-6.00,37.00,-2.00,0.00
1923,2010-01-17,-10.00,35.00,-7.00,21.00,30.00,55.00,-4.00,19.00,-9.00,-5.00,215.00,3.00,-1.00,-4.00,1.00
67,2010-01-17,-10.00,35.00,-7.00,21.00,30.00,55.00,-4.00,19.00,-9.00,-5.00,215.00,3.00,-1.00,-4.00,1.00
1927,2010-01-17,-10.00,35.00,-7.00,21.00,30.00,55.00,-4.00,19.00,-9.00,-5.00,215.00,3.00,-1.00,-4.00,1.00
1923,2010-01-18,-9.00,6.00,1.00,0.00,-1.00,0.00,-5.00,-1.00,5.00,115.00,1.00,-10.00,-3.00,2.00,3.00
67,2010-01-18,-9.00,6.00,1.00,0.00,-1.00,0.00,-5.00,-1.00,5.00,115.00,1.00,-10.00,-3.00,2.00,3.00
1927,2010-01-18,-9.00,6.00,1.00,0.00,-1.00,0.00,-5.00,-1.00,5.00,115.00,1.00,-10.00,-3.00,2.00,3.00
1923,2010-01-19,18.00,-3.00,-1.00,-5.00,-8.00,-14.00,-5.00,-6.00,-10.00,-5.00,-4.00,2.00,-3.00,-6.00,-7.00
67,2010-01-19,18.00,-3.00,-1.00,-5.00,-8.00,-14.00,-5.00,-6.00,-10.00,-5.00,-4.00,2.00,-3.00,-6.00,-7.00
1927,2010-01-19,18.00,-3.00,-1.00,-5.00,-8.00,-14.00,-5.00,-6.00,-10.00,-5.00,-4.00,2.00,-3.00,-6.00,-7.00
1923,2010-01-20,-10.00,14.00,-1.00,0.00,-7.00,-7.00,0.00,0.00,0.00,-1.00,-5.00,3.00,-4.00,-4.00,-7.00
67,2010-01-20,-10.00,14.00,-1.00,0.00,-7.00,-7.00,0.00,0.00,0.00,-1.00,-5.00,3.00,-4.00,-4.00,-7.00
1927,2010-01-20,-10.00,14.00,-1.00,0.00,-7.00,-7.00,0.00,0.00,0.00,-1.00,-5.00,3.00,-4.00,-4.00,-7.00
1923,2010-01-21,-6.00,9.00,-4.00,135.00,-4.00,-7.00,-10.00,12.00,1440,19.00,-3.00,-4.00,-1.00,-2.00,-5.00
67,2010-01-21,-6.00,9.00,-4.00,135.00,-4.00,-7.00,-10.00,12.00,1440,19.00,-3.00,-4.00,-1.00,-2.00,-5.00
1927,2010-01-21,-6.00,9.00,-4.00,135.00,-4.00,-7.00,-10.00,12.00,1440,19.00,-3.00,-4.00,-1.00,-2.00,-5.00
1923,2010-01-22,-4.00,-3.00,-3.00,1440,-5.00,19.00,-5.00,6.00,-2.00,64.00,12.00,4.00,21.00,-2.00,-2.00
67,2010-01-22,-4.00,-3.00,-3.00,1440,-5.00,19.00,-5.00,6.00,-2.00,64.00,12.00,4.00,21.00,-2.00,-2.00
1927,2010-01-22,-4.00,-3.00,-3.00,1440,-5.00,19.00,-5.00,6.00,-2.00,64.00,12.00,4.00,21.00,-2.00,-2.00
1923,2010-01-23,-10.00,-5.00,2.00,-7.00,-7.00,-9.00,5.00,6.00,-4.00,-9.00,3.00,15.00,0.00,-3.00,54.00
67,2010-01-23,-10.00,-5.00,2.00,-7.00,-7.00,-9.00,5.00,6.00,-4.00,-9.00,3.00,15.00,0.00,-3.00,54.00
1923,2010-01-24,13.00,20.00,-3.00,23.00,-3.00,-7.00,-5.00,0.00,6.00,-5.00,7.00,-4.00,5.00,-4.00,254.00
67,2010-01-24,13.00,20.00,-3.00,23.00,-3.00,-7.00,-5.00,0.00,6.00,-5.00,7.00,-4.00,5.00,-4.00,254.00
1927,2010-01-24,13.00,20.00,-3.00,23.00,-3.00,-7.00,-5.00,0.00,6.00,-5.00,7.00,-4.00,5.00,-4.00,254.00
1923,2010-01-25,-10.00,155.00,12.00,-8.00,-5.00,-6.00,1440,-10.00,1440,17.00,2.00,-3.00,1.00,-6.00,-7.00
67,2010-01-25,-10.00,155.00,12.00,-8.00,-5.00,-6.00,1440,-10.00,1440,17.00,2.00,-3.00,1.00,-6.00,-7.00
1927,2010-01-25,-10.00,155.00,12.00,-8.00,-5.00,-6.00,1440,-10.00,1440,17.00,2.00,-3.00,1.00,-6.00,-7.00
1923,2010-01-26,-9.00,11.00,-2.00,-11.00,-4.00,24.00,52.00,7.00,-6.00,-5.00,-2.00,-9.00,-6.00,-4.00,-5.00
67,2010-01-26,-9.00,11.00,-2.00,-11.00,-4.00,24.00,52.00,7.00,-6.00,-5.00,-2.00,-9.00,-6.00,-4.00,-5.00
1927,2010-01-26,-9.00,11.00,-2.00,-11.00,-4.00,24.00,52.00,7.00,-6.00,-5.00,-2.00,-9.00,-6.00,-4.00,-5.00
1923,2010-01-27,-7.00,-10.00,55.00,-5.00,6.00,-10.00,-10.00,-4.00,-12.00,-8.00,-2.00,-3.00,3.00,-3.00,-5.00
67,2010-01-27,-7.00,-10.00,55.00,-5.00,6.00,-10.00,-10.00,-4.00,-12.00,-8.00,-2.00,-3.00,3.00,-3.00,-5.00
1927,2010-01-27,-7.00,-10.00,55.00,-5.00,6.00,-10.00,-10.00,-4.00,-12.00,-8.00,-2.00,-3.00,3.00,-3.00,-5.00
1923,2010-01-28,-7.00,67.00,-4.00,-5.00,-3.00,-3.00,0.00,-5.00,0.00,-7.00,-1.00,-4.00,5.00,0.00,-5.00
67,2010-01-28,-7.00,67.00,-4.00,-5.00,-3.00,-3.00,0.00,-5.00,0.00,-7.00,-1.00,-4.00,5.00,0.00,-5.00
1927,2010-01-28,-7.00,67.00,-4.00,-5.00,-3.00,-3.00,0.00,-5.00,0.00,-7.00,-1.00,-4.00,5.00,0.00,-5.00
1923,2010-01-29,62.00,6.00,4.00,-5.00,1.00,-5.00,-5.00,-10.00,-3.00,-4.00,25.00,22.00,45.00,17.00,21.00
67,2010-01-29,62.00,6.00,4.00,-5.00,1.00,-5.00,-5.00,-10.00,-3.00,-4.00,25.00,22.00,45.00,17.00,21.00
1927,2010-01-29,62.00,6.00,4.00,-5.00,1.00,-5.00,-5.00,-10.00,-3.00,-4.00,25.00,22.00,45.00,17.00,21.00
1923,2010-01-30,1440,115.00,49.00,1440,44.00,114.00,118.00,-8.00,-3.00,2.00,20.00,-7.00,6.00,-2.00,-6.00
67,2010-01-30,1440,115.00,49.00,1440,44.00,114.00,118.00,-8.00,-3.00,2.00,20.00,-7.00,6.00,-2.00,-6.00
1923,2010-01-31,-9.00,3.00,12.00,33.00,16.00,-9.00,-10.00,7.00,3.00,10.00,47.00,-6.00,45.00,14.00,-1.00
67,2010-01-31,-9.00,3.00,12.00,33.00,16.00,-9.00,-10.00,7.00,3.00,10.00,47.00,-6.00,45.00,14.00,-1.00
1927,2010-01-31,-9.00,3.00,12.00,33.00,16.00,-9.00,-10.00,7.00,3.00,10.00,47.00,-6.00,45.00,14.00,-1.00
1923,2010-02-01,-8.00,-5.00,-3.00,-3.00,11.00,-1.00,-6.00,48.00,11.00,0.00,-2.00,4.00,-2.00,-2.00,-3.00
67,2010-02-01,-8.00,-5.00,-3.00,-3.00,11.00,-1.00,-6.00,48.00,11.00,0.00,-2.00,4.00,-2.00,-2.00,-3.00
1927,2010-02-01,-8.00,-5.00,-3.00,-3.00,11.00,-1.00,-6.00,48.00,11.00,0.00,-2.00,4.00,-2.00,-2.00,-3.00
1923,2010-02-02,-7.00,-6.00,-3.00,-2.00,0.00,-7.00,-3.00,15.00,21.00,-5.00,-3.00,-6.00,-2.00,-6.00,-4.00
67,2010-02-02,-7.00,-6.00,-3.00,-2.00,0.00,-7.00,-3.00,15.00,21.00,-5.00,-3.00,-6.00,-2.00,-6.00,-4.00
1927,2010-02-02,-7.00,-6.00,-3.00,-2.00,0.00,-7.00,-3.00,15.00,21.00,-5.00,-3.00,-6.00,-2.00,-6.00,-4.00
1923,2010-02-03,-2.00,22.00,-6.00,0.00,0.00,-9.00,10.00,-5.00,8.00,-9.00,20.00,30.00,-1.00,-6.00,-4.00
67,2010-02-03,-2.00,22.00,-6.00,0.00,0.00,-9.00,10.00,-5.00,8.00,-9.00,20.00,30.00,-1.00,-6.00,-4.00
1927,2010-02-03,-2.00,22.00,-6.00,0.00,0.00,-9.00,10.00,-5.00,8.00,-9.00,20.00,30.00,-1.00,-6.00,-4.00
1923,2010-02-04,-6.00,27.00,1.00,-6.00,0.00,-4.00,0.00,4.00,0.00,40.00,30.00,1.00,-2.00,29.00,43.00
67,2010-02-04,-6.00,27.00,1.00,-6.00,0.00,-4.00,0.00,4.00,0.00,40.00,30.00,1.00,-2.00,29.00,43.00
1927,2010-02-04,-6.00,27.00,1.00,-6.00,0.00,-4.00,0.00,4.00,0.00,40.00,30.00,1.00,-2.00,29.00,43.00
1923,2010-02-05,6.00,-1.00,1440,11.00,1440,1440,-10.00,0.00,22.00,8.00,1440,-1.00,11.00,-1.00,12.00
67,2010-02-05,6.00,-1.00,1440,11.00,1440,1440,-10.00,0.00,22.00,8.00,1440,-1.00,11.00,-1.00,12.00
1927,2010-02-05,6.00,-1.00,1440,11.00,1440,1440,-10.00,0.00,22.00,8.00,1440,-1.00,11.00,-1.00,12.00
1923,2010-02-06,-5.00,0.00,2.00,-4.00,1440,1440,-8.00,-3.00,57.00,-8.00,3.00,-6.00,14.00,-4.00,48.00
67,2010-02-06,-5.00,0.00,2.00,-4.00,1440,1440,-8.00,-3.00,57.00,-8.00,3.00,-6.00,14.00,-4.00,48.00
1923,2010-02-07,-9.00,1440,-9.00,1440,1440,50.00,-5.00,-4.00,-3.00,-1.00,1440,0.00,32.00,0.00,-1.00
67,2010-02-07,-9.00,1440,-9.00,1440,1440,50.00,-5.00,-4.00,-3.00,-1.00,1440,0.00,32.00,0.00,-1.00
1927,2010-02-07,-9.00,1440,-9.00,1440,1440,50.00,-5.00,-4.00,-3.00,-1.00,1440,0.00,32.00,0.00,-1.00
1923,2010-02-08,-8.00,-8.00,15.00,1.00,2.00,1440,0.00,2.00,19.00,0.00,-2.00,-7.00,39.00,-4.00,-7.00
67,2010-02-08,-8.00,-8.00,15.00,1.00,2.00,1440,0.00,2.00,19.00,0.00,-2.00,-7.00,39.00,-4.00,-7.00
1927,2010-02-08,-8.00,-8.00,15.00,1.00,2.00,1440,0.00,2.00,19.00,0.00,-2.00,-7.00,39.00,-4.00,-7.00
1923,2010-02-09,-6.00,1440,15.00,1.00,2.00,1440,-7.00,-4.00,-6.00,-4.00,51.00,-4.00,4.00,0.00,-5.00
67,2010-02-09,-6.00,1440,15.00,1.00,2.00,1440,-7.00,-4.00,-6.00,-4.00,51.00,-4.00,4.00,0.00,-5.00
1927,2010-02-09,-6.00,1440,15.00,1.00,2.00,1440,-7.00,-4.00,-6.00,-4.00,51.00,-4.00,4.00,0.00,-5.00
1923,2010-02-10,-8.00,1440,7.00,1440,27.00,1440,-10.00,-3.00,21.00,1440,11.00,-12.00,4.00,-5.00,-2.00
67,2010-02-10,-8.00,1440,7.00,1440,27.00,1440,-10.00,-3.00,21.00,1440,11.00,-12.00,4.00,-5.00,-2.00
1927,2010-02-10,-8.00,1440,7.00,1440,27.00,1440,-10.00,-3.00,21.00,1440,11.00,-12.00,4.00,-5.00,-2.00
1923,2010-02-11,-2.00,5.00,53.00,-2.00,-3.00,1440,-1.00,95.00,28.00,27.00,-10.00,1440,24.00,-5.00,0.00
67,2010-02-11,-2.00,5.00,53.00,-2.00,-3.00,1440,-1.00,95.00,28.00,27.00,-10.00,1440,24.00,-5.00,0.00
1927,2010-02-11,-2.00,5.00,53.00,-2.00,-3.00,1440,-1.00,95.00,28.00,27.00,-10.00,1440,24.00,-5.00,0.00
1923,2010-02-12,11.00,-2.00,14.00,70.00,49.00,10.00,1.00,24.00,8.00,1440,4.00,97.00,23.00,-5.00,1440
67,2010-02-12,11.00,-2.00,14.00,70.00,49.00,10.00,1.00,24.00,8.00,1440,4.00,97.00,23.00,-5.00,1440
1927,2010-02-12,11.00,-2.00,14.00,70.00,49.00,10.00,1.00,24.00,8.00,1440,4.00,97.00,23.00,-5.00,1440
1923,2010-02-13,70.00,68.00,27.00,29.00,1.00,29.00,-6.00,4.00,73.00,28.00,-2.00,29.00,17.00,95.00,181.00
67,2010-02-13,70.00,68.00,27.00,29.00,1.00,29.00,-6.00,4.00,73.00,28.00,-2.00,29.00,17.00,95.00,181.00
1923,2010-02-14,-7.00,-2.00,-6.00,12.00,1440,-2.00,-13.00,2.00,6.00,36.00,-4.00,-7.00,1.00,-5.00,24.00
67,2010-02-14,-7.00,-2.00,-6.00,12.00,1440,-2.00,-13.00,2.00,6.00,36.00,-4.00,-7.00,1.00,-5.00,24.00
1923,2010-02-15,28.00,0.00,36.00,65.00,10.00,-7.00,27.00,8.00,63.00,1440,0.00,24.00,6.00,-5.00,2.00
67,2010-02-15,28.00,0.00,36.00,65.00,10.00,-7.00,27.00,8.00,63.00,1440,0.00,24.00,6.00,-5.00,2.00
1927,2010-02-15,28.00,0.00,36.00,65.00,10.00,-7.00,27.00,8.00,63.00,1440,0.00,24.00,6.00,-5.00,2.00
1923,2010-02-16,-2.00,66.00,25.00,-5.00,21.00,1.00,-2.00,-4.00,1440,2.00,8.00,-3.00,7.00,0.00,2.00
67,2010-02-16,-2.00,66.00,25.00,-5.00,21.00,1.00,-2.00,-4.00,1440,2.00,8.00,-3.00,7.00,0.00,2.00
1927,2010-02-16,-2.00,66.00,25.00,-5.00,21.00,1.00,-2.00,-4.00,1440,2.00,8.00,-3.00,7.00,0.00,2.00
1923,2010-02-17,-4.00,1440,0.00,-1.00,-2.00,3.00,-6.00,-8.00,111.00,23.00,-5.00,-4.00,3.00,15.00,-2.00
67,2010-02-17,-4.00,1440,0.00,-1.00,-2.00,3.00,-6.00,-8.00,111.00,23.00,-5.00,-4.00,3.00,15.00,-2.00
1927,2010-02-17,-4.00,1440,0.00,-1.00,-2.00,3.00,-6.00,-8.00,111.00,23.00,-5.00,-4.00,3.00,15.00,-2.00
1923,2010-02-18,-8.00,0.00,86.00,-2.00,4.00,0.00,-4.00,-7.00,0.00,6.00,1.00,-7.00,4.00,-13.00,18.00
67,2010-02-18,-8.00,0.00,86.00,-2.00,4.00,0.00,-4.00,-7.00,0.00,6.00,1.00,-7.00,4.00,-13.00,18.00
1927,2010-02-18,-8.00,0.00,86.00,-2.00,4.00,0.00,-4.00,-7.00,0.00,6.00,1.00,-7.00,4.00,-13.00,18.00
1923,2010-02-19,-12.00,-1.00,6.00,-1.00,4.00,-9.00,-5.00,-5.00,8.00,1.00,-7.00,29.00,36.00,-5.00,22.00
67,2010-02-19,-12.00,-1.00,6.00,-1.00,4.00,-9.00,-5.00,-5.00,8.00,1.00,-7.00,29.00,36.00,-5.00,22.00
1927,2010-02-19,-12.00,-1.00,6.00,-1.00,4.00,-9.00,-5.00,-5.00,8.00,1.00,-7.00,29.00,36.00,-5.00,22.00
1923,2010-02-20,-5.00,2.00,-2.00,-6.00,0.00,-3.00,-2.00,-4.00,-8.00,-2.00,6.00,-10.00,-2.00,-10.00,-2.00
67,2010-02-20,-5.00,2.00,-2.00,-6.00,0.00,-3.00,-2.00,-4.00,-8.00,-2.00,6.00,-10.00,-2.00,-10.00,-2.00
1923,2010-02-21,-10.00,85.00,-1.00,62.00,-1.00,0.00,57.00,-6.00,31.00,12.00,-1.00,4.00,28.00,-5.00,100.00
67,2010-02-21,-10.00,85.00,-1.00,62.00,-1.00,0.00,57.00,-6.00,31.00,12.00,-1.00,4.00,28.00,-5.00,100.00
1927,2010-02-21,-10.00,85.00,-1.00,62.00,-1.00,0.00,57.00,-6.00,31.00,12.00,-1.00,4.00,28.00,-5.00,100.00
1923,2010-02-22,-9.00,10.00,-2.00,19.00,19.00,-3.00,5.00,144.00,0.00,79.00,-5.00,8.00,2.00,-4.00,116.00
67,2010-02-22,-9.00,10.00,-2.00,19.00,19.00,-3.00,5.00,144.00,0.00,79.00,-5.00,8.00,2.00,-4.00,116.00
1927,2010-02-22,-9.00,10.00,-2.00,19.00,19.00,-3.00,5.00,144.00,0.00,79.00,-5.00,8.00,2.00,-4.00,116.00
1923,2010-02-23,-10.00,40.00,4.00,-6.00,-4.00,1440,2.00,116.00,13.00,7.00,-7.00,-7.00,52.00,-10.00,-3.00
67,2010-02-23,-10.00,40.00,4.00,-6.00,-4.00,1440,2.00,116.00,13.00,7.00,-7.00,-7.00,52.00,-10.00,-3.00
1927,2010-02-23,-10.00,40.00,4.00,-6.00,-4.00,1440,2.00,116.00,13.00,7.00,-7.00,-7.00,52.00,-10.00,-3.00
1923,2010-02-24,-7.00,59.00,41.00,-4.00,6.00,1440,-3.00,-3.00,1440,157.00,5.00,-1.00,8.00,-5.00,142.00
67,2010-02-24,-7.00,59.00,41.00,-4.00,6.00,1440,-3.00,-3.00,1440,157.00,5.00,-1.00,8.00,-5.00,142.00
1927,2010-02-24,-7.00,59.00,41.00,-4.00,6.00,1440,-3.00,-3.00,1440,157.00,5.00,-1.00,8.00,-5.00,142.00
1923,2010-02-25,27.00,1.00,12.00,2.00,10.00,98.00,-5.00,-3.00,1440,34.00,-4.00,16.00,11.00,-10.00,1.00
67,2010-02-25,27.00,1.00,12.00,2.00,10.00,98.00,-5.00,-3.00,1440,34.00,-4.00,16.00,11.00,-10.00,1.00
1927,2010-02-25,27.00,1.00,12.00,2.00,10.00,98.00,-5.00,-3.00,1440,34.00,-4.00,16.00,11.00,-10.00,1.00
1923,2010-02-26,-7.00,23.00,0.00,85.00,0.00,52.00,3.00,-4.00,1440,32.00,10.00,1.00,36.00,-5.00,5.00
67,2010-02-26,-7.00,23.00,0.00,85.00,0.00,52.00,3.00,-4.00,1440,32.00,10.00,1.00,36.00,-5.00,5.00
1927,2010-02-26,-7.00,23.00,0.00,85.00,0.00,52.00,3.00,-4.00,1440,32.00,10.00,1.00,36.00,-5.00,5.00
1923,2010-02-27,0.00,-4.00,0.00,-5.00,-7.00,-6.00,1.00,86.00,-5.00,-2.00,-1.00,-4.00,-5.00,-8.00,9.00
67,2010-02-27,0.00,-4.00,0.00,-5.00,-7.00,-6.00,1.00,86.00,-5.00,-2.00,-1.00,-4.00,-5.00,-8.00,9.00
1923,2010-02-28,-2.00,1440,3.00,6.00,63.00,-10.00,3.00,-10.00,0.00,-2.00,-6.00,8.00,2.00,-10.00,-6.00
67,2010-02-28,-2.00,1440,3.00,6.00,63.00,-10.00,3.00,-10.00,0.00,-2.00,-6.00,8.00,2.00,-10.00,-6.00
1927,2010-02-28,-2.00,1440,3.00,6.00,63.00,-10.00,3.00,-10.00,0.00,-2.00,-6.00,8.00,2.00,-10.00,-6.00
1923,2010-03-01,-7.00,52.00,9.00,-3.00,-2.00,-12.00,0.00,-5.00,21.00,24.00,-10.00,5.00,16.00,-10.00,-2.00
67,2010-03-01,-7.00,52.00,9.00,-3.00,-2.00,-12.00,0.00,-5.00,21.00,24.00,-10.00,5.00,16.00,-10.00,-2.00
1927,2010-03-01,-7.00,52.00,9.00,-3.00,-2.00,-12.00,0.00,-5.00,21.00,24.00,-10.00,5.00,16.00,-10.00,-2.00
1923,2010-03-02,-5.00,-5.00,3.00,2.00,-4.00,-5.00,1440,-5.00,-2.00,1440,0.00,-2.00,2.00,1440,1440
67,2010-03-02,-5.00,-5.00,3.00,2.00,-4.00,-5.00,1440,-5.00,-2.00,1440,0.00,-2.00,2.00,1440,1440
1927,2010-03-02,-5.00,-5.00,3.00,2.00,-4.00,-5.00,1440,-5.00,-2.00,1440,0.00,-2.00,2.00,1440,1440
1923,2010-03-03,-4.00,-3.00,101.00,2.00,-4.00,-7.00,0.00,-10.00,-7.00,15.00,-10.00,-2.00,2.00,-10.00,-1.00
67,2010-03-03,-4.00,-3.00,101.00,2.00,-4.00,-7.00,0.00,-10.00,-7.00,15.00,-10.00,-2.00,2.00,-10.00,-1.00
1927,2010-03-03,-4.00,-3.00,101.00,2.00,-4.00,-7.00,0.00,-10.00,-7.00,15.00,-10.00,-2.00,2.00,-10.00,-1.00
1923,2010-03-04,-8.00,-3.00,81.00,27.00,11.00,-1.00,-1.00,0.00,-2.00,7.00,-1.00,3.00,-4.00,-10.00,5.00
67,2010-03-04,-8.00,-3.00,81.00,27.00,11.00,-1.00,-1.00,0.00,-2.00,7.00,-1.00,3.00,-4.00,-10.00,5.00
1927,2010-03-04,-8.00,-3.00,81.00,27.00,11.00,-1.00,-1.00,0.00,-2.00,7.00,-1.00,3.00,-4.00,-10.00,5.00
1923,2010-03-05,-9.00,72.00,1.00,-2.00,-1.00,-9.00,-6.00,-2.00,0.00,175.00,-4.00,-3.00,2.00,-5.00,-1.00
67,2010-03-05,-9.00,72.00,1.00,-2.00,-1.00,-9.00,-6.00,-2.00,0.00,175.00,-4.00,-3.00,2.00,-5.00,-1.00
1927,2010-03-05,-9.00,72.00,1.00,-2.00,-1.00,-9.00,-6.00,-2.00,0.00,175.00,-4.00,-3.00,2.00,-5.00,-1.00
1923,2010-03-06,0.00,3.00,37.00,0.00,79.00,-4.00,37.00,-4.00,-13.00,0.00,-9.00,-4.00,-1.00,-7.00,-12.00
67,2010-03-06,0.00,3.00,37.00,0.00,79.00,-4.00,37.00,-4.00,-13.00,0.00,-9.00,-4.00,-1.00,-7.00,-12.00
1923,2010-03-07,-15.00,-3.00,-6.00,41.00,1.00,-18.00,0.00,-10.00,-9.00,-21.00,-10.00,-7.00,13.00,30.00,25.00
